DW Review,product_id,review_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,review_word_count,review_response_days,review_positive_flag,DW Product,REVIEW_DETAIL_LEVEL
44,ffb97eb64c6fe1baada2410288c04457,08b9d4cd8d58d356ea8bc6c32508161e,2,,Ainda estou aguardando,2017-08-02 00:00:00,2017-08-03 00:47:00,3,1.0326388888861402,0,44,short review
45,ffb64e34a37740dafb6c88f1abd1fa61,08c9d79ec0eba1d252e3f52f14b8e6a9,5,Bom,"Recomendo ,",2018-06-13 00:00:00,2018-06-13 22:54:00,2,0.9541666666700621,1,45,short review
46,ffb530bd30bcc1bd903e4da723faa5e6,08ee947fb131a0a99cc9c7cb8b111238,5,,"Produto lindo, ótimo",2017-07-08 00:00:00,2017-07-09 09:59:00,3,1.4159722222248092,1,46,short review
47,ffb2e8c1ddc7c3e590d2bc4c91de53e1,0a059e1fd55dd70084cf7f1a01fde7e6,1,,,2018-07-31 00:00:00,2018-08-01 21:53:00,0,1.9118055555591127,0,47,no text
48,ffb2a783fe9381154e13bb3457651996,0a3157c8e3e2b8b34dadee70c2174ab2,3,,,2018-06-21 00:00:00,2018-06-22 01:00:00,0,1.0416666666642413,0,48,no text
49,ffaf0af7eebb57c7f262b51ebb05dfd6,0a354009b25a2fbe0b25a6dd5c2a00ac,5,,,2018-03-16 00:00:00,2018-03-17 12:18:00,0,1.5124999999970896,1,49,no text
50,ffae6024df16802ba75f761d9aa24367,0a5c119c75e7f8dd3fff7b6ceaa0520d,5,,,2018-05-16 00:00:00,2018-05-17 11:24:00,0,1.4749999999985448,1,50,no text
51,ffade53cc6541c89321fff351e04751a,0a9d200bdef258e70eb48398e1287d6d,5,1000000,Muito bom,2018-05-11 00:00:00,2018-05-12 11:07:00,2,1.4631944444408873,1,51,short review
52,ffadc6f8aa93aadfea73b1348a058358,0aad108b136bfe5d026d5aee9fb08323,5,Muito bom o produto,"Obrigada pela qualidade do produto, e pela entrega tbm que era previsto para 10/08 e chegou dia 22/07. Adorei. Parabéns.",2018-07-21 00:00:00,2018-07-23 22:59:00,20,2.9576388888890506,1,52,long review
53,ffad988078a64af484dfbc5f494d12ac,0ab6a11e5c1275beaad02a171286c7ce,5,,,2018-06-12 00:00:00,2018-06-15 11:52:00,0,3.4944444444408873,1,53,no text
54,ffaaddefb271481c66d4bd79844ecdae,0add87bb61dde125ca428f3c011f1364,4,,,2017-03-11 00:00:00,2017-03-12 10:34:00,0,1.4402777777795563,1,54,no text
55,ffa8916ae85546ee99d1965b28e447ae,0b203c48224f05538b45023809d2988f,3,,Só gostaria de saber o dia correto da entrega . ,2018-04-18 00:00:00,2018-04-18 18:08:00,10,0.7555555555591127,0,55,short review
56,ffa7e0cbe11656d11a117b534bb1db27,0b6fafdd0e2584fe9906429c198b2b71,5,,,2017-07-13 00:00:00,2017-07-13 19:22:00,0,0.8069444444408873,1,56,no text
57,ffa5d8273d8e03363bb4014de3f89dce,0bd4dcc4f6c4621baf37f73495cad8c4,3,,Entrega no prazo,2017-03-23 00:00:00,2017-03-23 21:20:00,3,0.8888888888905058,0,57,short review
58,ffa4ff381e25872b5bf85353ff7ab0c9,0beb430df734fb96c4f353165408b439,5,,,2017-08-08 00:00:00,2017-08-10 19:27:00,0,2.8104166666671517,1,58,no text
59,ffa4027b0effa4df0d5f5a9ce2788b6d,0c0b7bb5202b7fb05e210d55fdc619f1,3,,,2018-03-20 00:00:00,2018-03-23 14:35:00,0,3.6076388888905058,0,59,no text
60,ffa255211c5d16ec8ebadcb5729c96ce,0c8b57ea62de568f13a0e101d344977e,5,,,2017-07-12 00:00:00,2017-07-13 01:02:00,0,1.0430555555576575,1,60,no text
61,ffa1ce7f2a287ca5e369673bd77d43de,0c9b6ca9b3beaf0fd5d621f63844ea01,5,prazo entrega,"Espero receber esta semana, o que não seria tão extravagante, porém...mais atrazo do que isso me faria desistir do baratheon.",2018-08-26 00:00:00,2018-08-29 02:48:00,20,3.116666666668607,1,61,long review
62,ffa0824a2b01e5ce24d6883413b72f14,0cbf25a6f560a835e79fb8d24a5926c9,5,,,2018-06-07 00:00:00,2018-06-07 20:49:00,0,0.867361111108039,1,62,no text
63,ff9fa77f938462abd16b53c0d934099f,0cf5c3271576152c2be4fed54e1e16ca,4,,Comprei 2(dois) produtos iguais e tive que pagar 2(dois) fretes. A Empresa poderia ter colocado em uma única embalagem e cobrar apenas um frete. Produto entregue em perfeitas condições. Ótimo produto.,2017-01-24 00:00:00,2017-01-25 09:29:00,31,1.3951388888890506,1,63,long review
64,ff9dfd2acec3dff6be51b4d28bed8768,0cffe0e5a8d15b6159dd64768d110521,5,,,2017-07-05 00:00:00,2017-07-05 15:09:00,0,0.6312499999985448,1,64,no text
65,ff9a23dcd6b233811bd2a7be174a8e4c,0d07bf1ef58ef047123207faec68675a,1,,Ainda não recebi,2018-03-31 00:00:00,2018-03-31 19:36:00,3,0.8166666666656965,0,65,short review
66,ff96895c6b1d31f34b2d82f86670fa85,0d322bcc61875aa8332aa2c4b85d7704,2,,Produto de baixa qualidade.,2017-07-15 00:00:00,2017-07-15 19:32:00,4,0.8138888888861402,0,66,short review
67,ff95ac47246ef13e48712ea1ff8df0d9,0d4821be98f78d25e14f37ac9d320a84,5,,,2018-04-05 00:00:00,2018-04-05 23:19:00,0,0.9715277777795563,1,67,no text
68,ff92ca9bb0b3f4ec00a9b76c9f68cb3a,0d7749e6d8cf50d052f7124ac4d0ce68,5,,,2017-05-30 00:00:00,2017-05-31 11:19:00,0,1.4715277777795563,1,68,no text
69,ff9240e1887b9c59757142080b2c8d79,0db1b55476da996d2b2b46a74a6ae167,5,,Gostei muito do que comprei com vcs muito obrigada breve farei outras compras vanda,2017-07-12 00:00:00,2017-07-12 12:09:00,14,0.5062499999985448,1,69,short review
70,ff92322b0148cca0038e11e0d34f6f62,0dc56be1dabd04c994a0fce5478bb16d,4,,,2017-10-10 00:00:00,2017-10-11 14:23:00,0,1.5993055555591127,1,70,no text
71,ff922797a6771cab4e0c51d482285ec3,0ddace107051d27b273578e30c758518,3,,,2018-07-12 00:00:00,2018-07-13 18:08:00,0,1.7555555555591127,0,71,no text
72,ff90ba6020fbb7d7f56613e213e9dc57,0e0190b9db53b689b285d3f3916f8441,5,,obrigado pela atençao amim dispensada,2017-12-01 00:00:00,2017-12-09 22:58:00,5,8.956944444442343,1,72,short review
73,ff907ae86deaa05b65cfb3b14166e7c7,0e1e0753f372dd1cb35f9e10c0abfb05,4,,,2018-04-03 00:00:00,2018-04-04 01:45:00,0,1.0729166666642413,1,73,no text
74,ff9032482857269e8683f0c2f8ba4709,0e45ed9cb534e20473b8e7e5c6c0ec36,5,,,2017-11-29 00:00:00,2017-11-30 11:26:00,0,1.476388888891961,1,74,no text
75,ff8ff756fe1137ed22300ccd2190703a,0e5149ccee3f7414ba4d17c13f051259,1,,,2018-08-10 00:00:00,2018-08-12 21:45:00,0,2.90625,0,75,no text
76,ff8f6ec909e03ac8d9f6d82a10031c0c,0e5b266dc8209b8884d06a737fa9cce4,4,,,2017-12-12 00:00:00,2017-12-12 18:38:00,0,0.7763888888875954,1,76,no text
77,ff8ee90ee3170de57403d2d5af1e2c2e,0ea6bcf44daa35a34247b889d2d21c9e,5,,,2018-03-09 00:00:00,2018-03-11 15:27:00,0,2.6437500000029104,1,77,no text
78,ff8ece719f2d16180dbf891250635093,0ec9f07c73a839778b8f21ba370a82c2,5,,,2018-05-25 00:00:00,2018-05-25 22:29:00,0,0.9368055555532919,1,78,no text
79,ff8e9a180c931adab01ed6b3c44edc25,0ed5802ea93f04e9bf2364c664dadbbd,1,,"Fornecedor targaryen me mandou um massageador completamente diferente do que comprei, de preço inferior e cheio de avaliações negativas. Ninguém erra mandando um superior né, curioso..Ou seja, n recomendo",2016-10-28 00:00:00,2016-11-01 18:44:00,29,4.780555555553292,0,79,long review
80,ff8bd09f659b88af06fdfea61a8b7b45,0f47555e4df6f6e31bb40c6ff7fb6fac,2,,,2017-10-02 00:00:00,2017-10-04 23:54:00,0,2.9958333333343035,0,80,no text
81,ff8bb42702f38636b348fd7e2332ce2f,0f78e4239d721587a2a1e81256297240,5,,,2017-10-04 00:00:00,2017-10-05 12:12:00,0,1.508333333331393,1,81,no text
82,ff8b5a5f01bf21afd7d49b4688ca6d1f,0fdc0795d2359c2d3627248f6f7073e6,3,,,2018-08-10 00:00:00,2018-08-13 11:53:00,0,3.4951388888875954,0,82,no text
83,ff85ff517698c3fe8b200afddda7fb3a,0fdc5885e13af6996fa1c53985b21b9f,3,,,2017-03-09 00:00:00,2017-03-10 23:31:00,0,1.9798611111109494,0,83,no text
84,ff81cd23251a357a120054397a01849f,1090909faae22e5ab76903e8493063f1,1,,,2018-03-07 00:00:00,2018-03-07 15:32:00,0,0.6472222222218988,0,84,no text
85,ff817f0901191fbe02933928daa95e6e,109b5ce2dd11bb8460eff3b86da6fefc,5,Ótimo Produto! ,Recomendo o vendedor... ,2018-08-17 00:00:00,2018-08-17 21:47:00,3,0.9076388888861402,1,85,short review
86,ff80f0538290775336ee74b4997a855c,10e0a5b03096868d8110e7c336f15687,5,,,2017-10-31 00:00:00,2017-11-04 18:12:00,0,4.758333333331393,1,86,no text
87,ff7fccf8513f360157f0660fe51d1d88,11b7da00e5de667df747bfed746cd44f,5,,,2018-05-18 00:00:00,2018-05-20 18:34:00,0,2.773611111108039,1,87,no text
88,ff7cbf1b6efcbdb616eaf4e90ca7a467,11c3e9036551ef3649c3c781f9d24e1d,5,,,2017-02-23 00:00:00,2017-02-25 15:03:00,0,2.6270833333328483,1,88,no text
89,ff7c7524d5f9a8386ab27088ec03c1fb,11caa17c5966423a2f73ded6a13ad638,5,,"Tudo ok,o baratheon sempre responsável com a suas entregas.",2017-07-26 00:00:00,2017-07-27 09:16:00,9,1.3861111111109494,1,89,short review
90,ff7b4560eaf93a8848cd5fde641f39c6,11d080870bba1f6ee139bd07dc192d2e,4,Bom,Acho que o produto deveria ter um prazo de validade maior.,2018-05-15 00:00:00,2018-05-15 19:52:00,11,0.827777777776646,1,90,short review
91,ff7ac89ca5b77d0fb5f8a65262d73956,11db908ead2e5a77da340ab06c338fda,3,,,2017-10-05 00:00:00,2017-10-08 13:54:00,0,3.579166666670062,0,91,no text
92,ff7aa48b8bc68495866b40c4010d58c9,12463efbc0d2758938651e4fd1474a72,5,,,2018-02-19 00:00:00,2018-02-21 22:47:00,0,2.9493055555576575,1,92,no text
93,ff7a70b3356d433014b7d6957ed196cb,1258a603cc9e4897f7955ab218c83b8c,3,,,2018-02-03 00:00:00,2018-02-03 23:43:00,0,0.9881944444423425,0,93,no text
94,ff7885ae23429394b64526e957ec809d,125af5098b160c059cd60bafcc1f6ad1,5,,,2017-02-08 00:00:00,2017-02-09 10:09:00,0,1.4229166666700621,1,94,no text
95,ff7824d83aca56224fa3e3b524748ec5,12bb7793384d3ab81de45068d3da0012,5,,,2018-07-31 00:00:00,2018-08-02 19:02:00,0,2.7930555555576575,1,95,no text
96,ff7263dfb3cfff5421ada48c3899c313,12f226601192062b644b158e0af9e723,5,Super satisfeita. ,"Produto perfeito, entrega rápida. Estou satisfeitíssima. 👏🏽",2018-08-08 00:00:00,2018-08-09 09:57:00,7,1.414583333331393,1,96,short review
97,ff724c4888bdcfb01e7028066db3bb98,138f4fede258184de813d8c1bfb1fecf,5,,,2017-12-01 00:00:00,2017-12-02 12:12:00,0,1.508333333331393,1,97,no text
98,ff6caf9340512b8bf6d2a2a6df032cfa,13905f5bad2b4b8d1e14d90688d89c23,3,,,2018-03-22 00:00:00,2018-03-25 02:33:00,0,3.1062499999970896,0,98,no text
99,ff6a816ae8a01312fe42dc48c7c8ead1,13af9d6501d608374c69d002c6b37ce1,5,,entrega rapida,2017-09-30 00:00:00,2017-10-03 12:25:00,2,3.5173611111094942,1,99,short review
100,ff678388090fbae683a9a271480fb7f3,13b95ae5195e069d47c2b585c8e9b4fa,5,,,2017-05-18 00:00:00,2017-05-19 22:33:00,0,1.9395833333328483,1,100,no text
101,ff62ab4c255754dd5cfbd1822cd97b40,13cf90d76f1ffc624a83f3f9ddd62c36,5,,,2017-10-03 00:00:00,2017-10-06 02:33:00,0,3.1062499999970896,1,101,no text
102,ff62353dc0792586fbf5eefd8dc7d4f2,13e80f4d3fe96747729573b4a95484ab,5,Excelente!,O produto chegou antes do prazo. ,2018-04-29 00:00:00,2018-04-29 21:53:00,6,0.9118055555591127,1,102,short review
103,ff6154cee42bf2718cca4865f0620e04,142b9ed4c75528fabceb361afe3160ca,5,,,2017-05-23 00:00:00,2017-05-24 09:52:00,0,1.4111111111124046,1,103,no text
104,ff60ce007cb42cd9786f49d262a97672,142f69554c6042f70a2f2eb188d51647,3,,,2018-08-02 00:00:00,2018-08-02 18:50:00,0,0.7847222222189885,0,104,no text
105,ff5f8606556b625613f069a5a9a48966,14613df954694f243dedeaa2c8a3a5c2,4,4," Se fosse vidro tinha quebrado; veio na caixa sem nenhuma proteção por dentro, a caixa estava muito amassada. Desculpe.. mas gosto de comprar de vcs_x000D_
.",2018-05-15 00:00:00,2018-05-16 23:41:00,25,1.9868055555562023,1,105,long review
106,ff5ecb2f7628793844e861076ab8e467,1489ef235189b9e5e1a9d4308bf228bd,1,,"Comprei duas mochilas, recebi apenas uma, o natal está chegando e até agora nada!",2017-12-14 00:00:00,2017-12-20 10:28:00,14,6.43611111111386,0,106,short review
107,ff5d87897ed26d564711df324b98ebee,1506b122a0432756e345ff579504c59f,5,,,2018-04-19 00:00:00,2018-04-25 13:53:00,0,6.578472222223354,1,107,no text
108,ff5d7f21d255435967dfbe72b5dcdb57,15197aa66ff4d0650b5434f1b46cda19,1,,,2018-04-13 00:00:00,2018-04-16 00:39:00,0,3.0270833333343035,0,108,no text
109,ff5bdcc63751127e726cb69cff0cb5de,152ffa9780fe798c8e669cd233937853,5,,Sempre entrega antes do prazo.,2017-05-01 00:00:00,2017-05-02 21:14:00,5,1.8847222222248092,1,109,short review
110,ff55834c0b3272853dfe62340f2bb91b,1545c0d2c381662ba869e91e4c1aaca1,5,,Até agora tudo bem estou esperando a entrega do produto,2018-02-04 00:00:00,2018-02-09 18:44:00,10,5.780555555553292,1,110,short review
111,ff50a7795bf14586aeb06610fae49095,15686e0544ebe0a2c5c5dcbc20e84432,5,Bom,,2018-06-28 00:00:00,2018-06-30 20:24:00,0,2.849999999998545,1,111,no text
112,ff4f5b008c32f80c3f952b2b56a28e04,156e9ca1f645798e0ddf64dfa79566cf,3,,"Recebi apenas 1 caixa com 100 unidades, e pedi 2 caixas.",2018-06-15 00:00:00,2018-06-18 01:14:00,11,3.0513888888890506,0,112,short review
113,ff4f41437ea37fc126d110853404b625,16063192d221c6f14be0b3444c761b92,5,,"Gostei muito,chegou tudo certinho até antes do prazo de entrega.",2017-10-07 00:00:00,2017-10-09 12:14:00,10,2.5097222222248092,1,113,short review
114,ff4c53f24709771879d01232ae305cac,1668f8723e4a52078690778e91ef344a,5,,,2017-10-11 00:00:00,2017-10-13 17:49:00,0,2.742361111108039,1,114,no text
115,ff4c1a248a5110d784de5c67a9106d67,1692078634b63c7f25aa90ee746ec498,5,OTIMO,OK RECOMENDO,2018-05-23 00:00:00,2018-05-28 12:48:00,2,5.533333333332848,1,115,short review
116,ff46e29063ede0062c2cfb22f05b54ef,169f34e00e26eea55ba60c7b19170e66,5,Regular ,Loja em si é boa pena a americana nao da suporte ao cliente ,2018-05-10 00:00:00,2018-05-10 19:02:00,13,0.7930555555576575,1,116,short review
117,ff469d5a015226354ab92a85c8c46537,16c4cbab64fb7841bfe489dde62cfb17,2,,Entregue antes do prazo! Produto perfeito!,2018-04-06 00:00:00,2018-04-07 20:02:00,6,1.8347222222218988,0,117,short review
118,ff4580bbb95dbae914ec0a9b76b0a5c4,16d40fdbdc2bb45a08f52621f05467eb,3,,,2017-12-23 00:00:00,2017-12-25 13:42:00,0,2.570833333331393,0,118,no text
119,ff415a8a6bfbaf8244f4ee0c7c30d905,16e2b94c7b6c1107c0abec3a77ae3afa,5,,"Gostei muito do produto, a entrega veio antes do prazo. Recomendo, fica bem encaixado no celular, não tira a elegância do aparelho, como outras as capas que deixam monstruoso com o tamanho.",2018-03-18 00:00:00,2018-03-19 00:44:00,32,1.030555555553292,1,119,long review
120,ff40459ce8252a72f01615a9aca8b877,16ec6a18e7f8833aed57b23f0b970490,2,,,2018-07-22 00:00:00,2018-07-24 12:07:00,0,2.5048611111124046,0,120,no text
121,ff3fd6df22de9102d81c4a963a694629,1708bf606fae9970482894dabb9e2fa8,5,,Entrega antes do prazo produto muito bem conservado. ,2017-06-17 00:00:00,2017-06-20 00:24:00,8,3.016666666670062,1,121,short review
122,ff3fb423134042fbbca486b9790b4521,176cc048a52801ae90f9284cb9ec83e9,5,,,2018-06-07 00:00:00,2018-06-08 01:40:00,0,1.0694444444452529,1,122,no text
123,ff3ec972ebd16eb98d55e8ea2fa255ee,17819b14322895e2f51ddc4a3ab5c647,1,,COMPREI UM JOGO DE PANELAS COM 8 PANELAS E UMA PANELA DE PRESSÃO VERMELHO E PANELAS DO TIPO OVAL. RECEBI UM JOGO COM 6 PANELAS E JOGO DE ESPÁTULAS PRETOS. COISA QUE NÃO PEDI. VEIO APENAS UMA FRIDEIRA.,2018-04-21 00:00:00,2018-04-22 02:49:00,38,1.117361111108039,0,123,long review
124,ff3ac832869618856979ed4f8d770d4d,179527c47972453d440d9f65626945e4,2,,"Comprei 2 relógios, mas só foi entregue 1",2017-07-25 00:00:00,2017-07-26 00:16:00,8,1.0111111111109494,0,124,short review
125,ff39fa912acf02a733de1b0cf84e779e,179ac76606aa67e8f50238e3bb1d8933,5,,Parabéns. Recebi antes do prazo . tudo correto como foi combinado.,2017-03-29 00:00:00,2017-03-30 00:33:00,11,1.022916666668607,1,125,short review
126,ff37b24bee4345bc69d11fae0e6cd3da,179f7691fefe10e924d8376399ba62a6,5,,,2018-05-06 00:00:00,2018-05-08 00:05:00,0,2.0034722222189885,1,126,no text
127,ff351cfcb7d6612f887fb0a230dfaf34,180e67ff4510555ef7d76de7fe42c11c,2,,"Foi tudo normal , como é mesmo uma compra por internet. Obrigado.",2017-10-17 00:00:00,2017-10-18 18:26:00,12,1.7680555555562023,0,127,short review
128,ff34f05b00e8638201e04d2d0651c663,185cb85ede91009d7a8e685687c037ee,1,,"fiz minha compra faz 30 dias e não recebi ainda meu produto._x000D_
Precisa melhorar nas entregas",2017-04-06 00:00:00,2017-04-09 18:25:00,15,3.7673611111094942,0,128,long review
