DW Includes,order_id,order_item_id,shipping_limit_date,price,freight_value,customer_unique_id,order_purchase_timestamp,order_delivered_customer_date,order_estimated_delivery_date,order_status,Total_Item_Amount,Customer_Age_At_Order,Order_Gap,DW Review,DW Customer,DW Product,DW Seller,ON_TIME,product_type,seller_state,repeat_customer
11,031cf625cad56f5761e51c2675f0c0ae,1,2018-03-29 22:28:00,59.99,8.88,1b9872e035e88fc720548cc74a815a46,2017-03-18 06:52:00,2017-04-04 08:36:00,2017-04-27,delivered,68.87,43,17.0,11,72,11,11,1,Bathroom,GO,1
12,032a25a524b766bdb806500361630bea,1,2018-07-31 17:30:00,45.0,12.98,07187f9425311d0bd2a5451169bb8c3c,2018-07-11 17:59:00,2018-07-25 23:21:00,2018-08-13,delivered,57.980000000000004,42,14.0,12,290,12,12,1,Accessories,SP,1
13,034d69957b2269cb4e06b31561b64973,1,2018-07-26 17:24:00,74.0,23.32,34502bdbecbd6a3b1dd162fe201556dd,2018-06-04 15:22:00,2018-06-19 13:48:00,2018-07-13,delivered,97.32,45,15.0,13,227,13,13,1,Accessories,SP,1
14,036dd381dfb3ec75e0a63e14828cc871,1,2018-02-21 02:55:00,49.9,13.37,859a9b67726d9c9306eb28b8938c59a0,2017-09-04 22:25:00,2017-09-13 20:36:00,2017-09-27,delivered,63.269999999999996,22,9.0,14,296,14,14,1,Art,SP,1
15,03dec253b6e471bd5b0653cc53b79e95,1,2018-02-21 02:55:00,49.9,13.37,f794c59a46dc4872d97d173c1b51525a,2017-06-27 10:49:00,2017-07-06 14:05:00,2017-07-19,delivered,63.269999999999996,26,9.0,15,136,15,15,1,Pets,SC,1
16,0413fe9eb0eb4aee51ef3065e9c91aa3,1,2018-08-17 12:15:00,99.9,27.65,866c923cde750dfc8cfbcf9d5ced0ee4,2017-06-30 11:27:00,2017-07-11 23:27:00,2017-07-26,delivered,127.55000000000001,21,11.0,16,34,16,16,1,Pets,BA,1
17,048beca6ccda094fb80bbc704d7c493d,1,2018-05-02 09:31:00,639.0,11.34,fa30145b07cad8e972bea351a65216f4,2017-04-28 13:36:00,2017-05-25 10:04:00,2017-05-22,delivered,650.34,49,27.0,17,15,17,17,0,Art,SC,0
18,04af00b2ad7756ba45549af1e832d8da,1,2018-05-16 20:57:00,144.0,8.77,18057955f3a6909f6fc6cf564179b6cf,2017-12-05 21:01:00,2017-12-13 20:43:00,2017-12-21,delivered,152.77,22,8.0,18,258,18,18,1,Clothing,DF,1
19,052121d17f8eab43c577497c9b1451e2,1,2017-08-21 03:33:00,99.0,13.71,f807403776737da279aba36583afa4df,2017-09-13 21:51:00,2017-09-20 21:02:00,2017-10-02,delivered,112.71000000000001,19,7.0,19,194,19,19,1,Jewelry,BA,1
20,0550cddd79cea841641e17c802d9c403,1,2018-02-28 12:08:00,25.0,16.11,6cd042e0832c40d2eebf82b2521a8487,2017-08-09 16:57:00,2017-08-14 11:25:00,2017-08-22,delivered,41.11,19,5.0,20,53,20,20,1,Accessories,SP,1
21,058ac520863d0c0d57e3cf920de368d4,1,2018-03-29 20:07:00,47.9,8.88,f422964d43fc7ecdc3e51443af0705f9,2018-05-21 23:17:00,2018-06-05 14:06:00,2018-06-08,delivered,56.78,53,15.0,21,60,21,21,1,Gadgets,SP,1
22,05c3b5a011d47cd6cd88d4c5d6c15b90,1,2017-11-27 19:09:00,21.99,11.85,c55681552ac6922a276fb013d773881b,2017-07-03 16:21:00,2017-07-07 14:51:00,2017-07-26,delivered,33.839999999999996,24,4.0,22,289,22,22,1,Books,SP,1
23,05c5f6468206cec16a8c99f231bbbe86,1,2018-03-21 11:10:00,119.99,44.4,1bc9b2dad6aefbfbc011508e34c8adfc,2018-04-29 21:30:00,2018-05-07 20:17:00,2018-05-30,delivered,164.39,28,8.0,23,16,23,23,1,Musical Instruments,SP,1
24,05f3fc274d71ebbd552966d716c9039d,1,2018-03-05 09:35:00,49.0,15.1,f807403776737da279aba36583afa4df,2018-05-11 18:36:00,2018-05-16 18:08:00,2018-05-22,delivered,64.1,19,5.0,24,194,24,24,1,Art,SP,1
25,062682155c454b125c630e1deebff4ea,1,2017-09-15 18:04:00,48.9,16.6,aaea7e9a2d2432c24a03eb74cc430c8a,2018-04-24 07:56:00,2018-05-02 19:23:00,2018-05-14,delivered,65.5,21,8.0,25,148,25,25,1,Gadgets,RS,1
26,06375e8bcbe64fb1da3b499fa42a7991,1,2017-08-11 00:35:00,219.9,16.98,0c4f8b6f80f0dbddbdce3882d2242be9,2018-02-26 09:34:00,2018-03-15 17:42:00,2018-03-21,delivered,236.88,30,17.0,26,173,26,26,1,Sports,MG,1
27,064895b0b58ab3f84d9d3b0a2b800205,1,2018-01-29 21:51:00,289.0,26.33,56b6eede1b10925212f054a7ba614796,2017-09-05 01:11:00,2017-09-14 20:35:00,2017-09-27,delivered,315.33,54,9.0,27,184,27,27,1,Gadgets,PR,1
28,066daea9ca27bdce0b0ef5e832427b6d,1,2017-03-29 13:05:00,109.9,25.51,e6fe68d7c7867dac3659cb4a8e06880c,2017-07-10 22:39:00,2017-07-17 20:33:00,2017-07-28,delivered,135.41,54,7.0,28,156,28,28,1,Toys,SP,1
29,06b5d30491b14242caca6d7090f29771,1,2018-06-14 05:16:00,27.9,7.94,e2c44993145bac31c5c48b620e3f40f0,2018-06-07 12:16:00,2018-06-18 22:33:00,2018-07-25,delivered,35.839999999999996,18,11.0,29,88,29,29,1,Accessories,SP,1
30,06bd462509d378184b5aedc7d5ab4a18,1,2017-12-13 03:16:00,119.9,17.32,6e8180fd61b4280c3d74dc2056256940,2017-11-15 22:29:00,2017-12-04 23:56:00,2017-12-07,delivered,137.22,23,19.0,30,337,30,30,1,Musical Instruments,SP,1
31,06be8b2c2a6e818814aa5416c3512ca3,1,2017-11-30 06:30:00,397.0,24.65,10d5890ed5e7ec78a7db23b5ac579b17,2018-07-23 22:05:00,2018-07-30 12:48:00,2018-08-14,delivered,421.65,18,7.0,31,234,31,31,1,Pets,PR,1
32,0713892246596f649555ebebe57a9a7b,1,2018-04-12 19:08:00,59.9,23.35,12d1cda209613cd60b9d242181be7077,2017-11-03 19:23:00,2017-11-14 19:03:00,2017-11-23,delivered,83.25,35,11.0,32,92,32,32,1,Decor,SP,1
33,0743d4433cd56bbd7b36287a05f94e10,1,2017-10-20 16:07:00,21.33,15.1,c573caf2e2c12c731885273e03dc5471,2017-06-07 21:55:00,2017-06-16 14:25:00,2017-06-21,delivered,36.43,60,9.0,33,151,33,33,1,Books,SC,1
34,07f6c3baf9ac86865b60f640c4f923c6,1,2017-10-20 16:07:00,21.33,15.1,14843983d4a159080f6afe4b7f346e7c,2018-03-02 17:47:00,2018-04-17 17:17:00,2018-03-22,delivered,36.43,52,46.0,34,7,34,34,0,Jewelry,SP,0
35,080353b05fa842120b49deabe1613a37,1,2017-10-20 16:07:00,21.33,15.1,d40aaaf342e2e82da754042ef4f0dcca,2017-07-03 15:48:00,2017-07-19 19:54:00,2017-08-04,delivered,36.43,18,16.0,35,144,35,35,1,Bathroom,MG,1
36,08523d94685d7c7efc1381136873cab3,1,2017-05-29 03:15:00,16.5,14.1,9f19c80b64945cd7abd1fb91ff5157a7,2017-11-17 00:49:00,2017-12-05 11:38:00,2017-12-14,delivered,30.6,24,18.0,36,220,36,36,1,Gadgets,SP,1
37,087a1c1dfd41b68ab6a6cd8551147bb2,1,2018-01-18 09:11:00,21.9,15.1,2a86852b89b186bb8aed750efd95ce73,2018-07-30 14:06:00,2018-08-13 16:38:00,2018-08-07,delivered,37.0,29,14.0,37,133,37,37,0,Art,SP,0
38,087a5caa838085de4baa54e02f8f2878,1,2018-01-23 03:35:00,39.0,16.11,6acc5385a15c441abe050fc7abda50bf,2018-06-09 01:13:00,2018-06-14 19:32:00,2018-06-25,delivered,55.11,37,5.0,38,196,38,38,1,Gadgets,PR,1
39,08af87fbe33eeebc7840433d94718046,1,2017-05-05 10:05:00,49.75,20.8,2ed2d94955614ec3262ce7575ef997f9,2017-04-20 13:01:00,2017-05-13 00:00:00,2017-05-12,shipped,70.55,23,23.0,39,165,39,39,0,Home Design,SP,0
40,08d2474dd3622ba4e0992955a950810f,1,2017-04-24 22:25:00,809.1,44.29,7e7c1cf8c1a7ae4149f5a2fc2b1b65b4,2018-01-27 11:13:00,2018-01-31 18:37:00,2018-02-14,delivered,853.39,53,4.0,40,161,40,40,1,Accessories,SP,1
41,08e83756399f8394bef75d0441b17b57,1,2018-02-13 19:10:00,99.99,13.72,e36a621e869b643b15983fa8085eb541,2018-04-29 19:42:00,2018-06-13 12:32:00,2018-06-04,delivered,113.71,18,45.0,41,35,41,41,0,Jewelry,DF,0
42,08fcde049d3ee404c83e486f4822a78e,1,2018-03-12 06:50:00,59.9,19.95,f807403776737da279aba36583afa4df,2018-05-16 09:57:00,2018-05-21 15:52:00,2018-05-30,delivered,79.85,19,5.0,42,194,42,42,1,Home Design,DF,1
43,0914478fdcadbaa5c8c8b3442b4f28d2,1,2018-01-04 02:33:00,24.89,17.63,56a9c159fffe93bdef88ffbf6e729712,2017-08-09 21:32:00,2017-08-14 14:13:00,2017-08-24,delivered,42.519999999999996,19,5.0,43,206,43,43,1,Gadgets,SC,1
44,09224348db675e0c2a00ebe2bd9599db,1,2018-01-04 02:33:00,24.89,17.63,82c199ce18d8d976f3029a4310e8ac5c,2017-07-13 22:27:00,2017-07-20 18:21:00,2017-07-26,delivered,42.519999999999996,57,7.0,44,270,44,44,1,Toys,SC,1
45,09268d8b25dd31ae78b464efd453d069,1,2018-01-04 02:33:00,24.89,17.63,456351381464fe44c74f85a122d86839,2018-06-08 21:53:00,2018-06-14 21:41:00,2018-06-28,delivered,42.519999999999996,30,6.0,45,252,45,45,1,Gadgets,SP,1
46,09ae30c3aa82707a515bda0df370f7d2,1,2018-07-10 02:51:00,54.0,8.54,0cbd5dfde4c06bbe2960d2c0c95e5e7d,2018-04-15 21:34:00,2018-05-03 17:05:00,2018-05-09,delivered,62.54,22,18.0,46,288,46,46,1,Toys,RS,1
47,09be8ba0b5c0e3195ef77302707a192f,1,2018-04-02 17:50:00,81.99,13.01,320388520e5f7afe7c97489ea2732796,2018-07-01 22:16:00,2018-07-06 18:08:00,2018-07-26,delivered,95.0,25,5.0,47,208,47,47,1,Appliances,MG,1
48,09d1a6d95af99a860b37ed53fc9a3c2d,1,2017-11-29 22:38:00,99.0,13.71,c6b7dcd3718d1ad87f069d32a8566ce2,2017-08-23 20:42:00,2017-09-04 22:35:00,2017-09-15,delivered,112.71000000000001,25,12.0,48,45,48,48,1,Shoes,MG,1
49,0ab7fb08086d4af9141453c91878ed7a,1,2017-05-18 17:35:00,18.99,7.78,0b83f73b19c2019e182fd552c048a22c,2018-04-02 13:42:00,2018-04-13 20:21:00,2018-04-18,delivered,26.77,52,11.0,49,5,49,49,1,Art,MG,1
50,0ac51a16347f7a7497b799596ad5fab7,1,2017-05-18 17:35:00,18.99,7.78,526807e2a25ea0db271efcc9fc646db1,2017-05-08 13:05:00,2017-05-18 14:13:00,2017-06-01,delivered,26.77,21,10.0,50,175,50,50,1,Decor,SP,1
51,0b1bd7cdeb2d703ebe602a2989a86f9a,1,2017-05-25 02:15:00,38.33,16.79,23af7ed42b446329e95c7645ba337f86,2017-08-21 21:09:00,2017-09-15 20:57:00,2017-09-25,delivered,55.12,49,25.0,51,211,51,51,1,Furniture,SP,1
52,0be2b6c22a3cd022d2986721e1faaafc,1,2017-02-01 13:17:00,69.9,18.0,fb7321c807106363b749c783f41de4fc,2018-02-27 09:00:00,2018-03-08 17:39:00,2018-03-21,delivered,87.9,20,9.0,52,281,52,52,1,Gadgets,SP,1
53,0c2c3c3a68e0c7184832879c6fe55a94,1,2017-03-23 11:47:00,195.0,18.21,e3170caa179176b49f1265ffde5c27fc,2017-07-27 14:46:00,2017-08-07 22:39:00,2017-08-22,delivered,213.21,19,11.0,53,299,53,53,1,Toys,SP,1
54,0c78080d6694709647442e7efb1d2a5e,1,2018-05-22 10:59:00,35.9,15.2,1bd843b2bc9b09595f3ed35d4f031506,2017-10-19 11:56:00,2017-10-27 19:43:00,2017-11-08,delivered,51.099999999999994,28,8.0,54,155,54,54,1,Gadgets,SC,1
55,0cae2524ce4d7c4658153705a054c722,1,2017-12-04 09:58:00,79.5,21.05,a672e4e4af506e713c1b4373e038cabb,2018-04-13 10:13:00,2018-04-18 18:52:00,2018-04-30,delivered,100.55,20,5.0,55,285,55,55,1,Books,SP,1
56,0cae3fb9a90f5aeeb7b3770b88f77851,1,2017-08-21 03:03:00,29.99,15.1,63606d6ecee30138790da5be23cac8e4,2018-03-12 14:07:00,2018-04-14 01:41:00,2018-04-04,delivered,45.089999999999996,42,33.0,56,331,56,56,0,Accessories,RJ,0
57,0cc25005d4c6ad2b8ca080644cee93d8,1,2018-04-26 12:30:00,109.9,13.21,be062ffc58427d6c959180b68a67471d,2017-11-24 09:58:00,2017-12-01 21:39:00,2017-12-08,delivered,123.11000000000001,35,7.0,57,160,57,57,1,Clothing,SC,1
58,0cc76fbe09687fda664178e9fc6c404f,1,2018-04-10 16:50:00,74.9,16.49,2f53681bf01c5cff02bada5809fe302e,2017-12-30 22:51:00,2018-01-06 13:53:00,2018-01-24,delivered,91.39,18,7.0,58,177,58,58,1,Furniture,RJ,1
59,0d09617395364c88c4ad7c457b439314,1,2018-04-02 16:35:00,14.95,18.23,6dade60d28a0f5b8ae7e8d67321b4141,2018-06-04 08:33:00,2018-06-20 18:52:00,2018-07-11,delivered,33.18,18,16.0,59,102,59,59,1,Gadgets,RS,1
60,0d522996b29429a46093cbc004e8f29d,1,2018-05-14 22:14:00,149.9,43.11,29869c1422b9c068973f8e44575f73d6,2018-04-28 08:17:00,2018-05-11 21:21:00,2018-05-21,delivered,193.01,21,13.0,60,292,60,60,1,Appliances,PR,1
61,0d783e7e03dd70fd2ea6a0b33bb73706,1,2018-01-03 17:59:00,19.99,14.1,2ed2d94955614ec3262ce7575ef997f9,2017-09-10 22:42:00,2017-09-19 21:32:00,2017-09-21,delivered,34.089999999999996,23,9.0,61,165,61,61,1,Books,SP,1
62,0d8e03520c1b877edaf5ef24f7abb5cb,1,2018-07-10 09:30:00,390.0,29.39,28a4a9aa9bd3640e1f9a9cf542cb25fd,2018-05-12 17:51:00,2018-06-28 14:03:00,2018-06-26,delivered,419.39,26,47.0,62,46,62,62,0,Pets,SP,0
63,0dadb750778faa5d3a1d6d69a37dc8d6,1,2018-03-07 02:49:00,135.0,21.75,02bc079a58dfe937bdc5d97c8bac00ac,2018-03-18 18:21:00,2018-04-08 19:19:00,2018-04-13,delivered,156.75,24,21.0,63,268,63,63,1,Accessories,SP,1
64,0dbcaa88e213607d3795e96eda505c73,1,2017-02-06 21:18:00,104.0,16.43,688bb6776d5f885e4b46d4c4bac240c2,2018-07-01 18:07:00,2018-07-07 15:47:00,2018-07-20,delivered,120.43,25,6.0,64,36,64,64,1,Jewelry,SP,1
65,0dc9297ae7a839d499730fd9acdd00f3,1,2017-11-10 21:26:00,149.0,15.8,aed838b04abeb2fb94566d0a073bd718,2017-02-28 20:57:00,2017-03-03 07:05:00,2017-03-21,delivered,164.8,29,3.0,65,104,65,65,1,Makeup,SP,1
66,0dfc5762a0ff5c737811e18023883a86,1,2017-12-04 03:32:00,279.9,13.46,9e8993ba2665307b71bd1641c2e1cb3d,2017-05-04 08:38:00,2017-05-17 10:27:00,2017-06-09,delivered,293.35999999999996,29,13.0,66,137,66,66,1,Books,SP,1
67,0e3fb5621c179dff735c7494afef624f,1,2018-02-27 11:55:00,44.9,23.22,06caeba6db23a17bf9bcb3846b768387,2017-05-26 02:28:00,2017-06-12 14:53:00,2017-06-27,delivered,68.12,35,17.0,67,27,67,67,1,Decor,PR,1
68,0e52eaa92a794742da29c413a23a7b80,1,2018-07-26 17:44:00,37.99,19.18,693343dbec3bbc6b1641ee705715a12f,2018-06-26 21:23:00,2018-07-09 13:44:00,2018-07-26,delivered,57.17,24,13.0,68,223,68,68,1,Decor,SP,1
69,0ec61157a488963fe217233f74c52760,1,2018-08-21 03:35:00,29.99,15.31,851f75e1a1ffe3612cde92428a7e9701,2016-10-09 23:50:00,2016-10-31 11:54:00,2016-12-02,delivered,45.3,18,22.0,69,139,69,69,1,Clothing,SP,1
70,0f02ea56e4c9e7d30adb19a0c3e07b02,1,2017-12-22 15:51:00,120.0,15.59,1cdf413d3539b5e8c100bea1ec5a881f,2018-02-28 23:42:00,2018-03-14 00:58:00,2018-03-19,delivered,135.59,19,14.0,70,166,70,70,1,Toys,SP,1
71,0f127f53a526c20902f9966a2a38846f,1,2018-09-03 03:50:00,492.75,21.62,ed3540836eb82093f5647ec31a037f42,2017-12-01 12:26:00,2017-12-22 18:12:00,2018-01-09,delivered,514.37,25,21.0,71,241,71,71,1,Gadgets,SP,1
72,0f2bbeda958833e5a67ceb4368f282fe,1,2018-05-08 12:14:00,94.9,18.54,1500da334da019c68fda219f942ba38a,2018-04-29 09:43:00,2018-05-14 18:58:00,2018-05-23,delivered,113.44,26,15.0,72,332,72,72,1,Decor,SP,1
73,0f344e8ea4fe9078a8183936e5407113,1,2018-02-22 19:46:00,88.34,21.11,18ae61c98401cffe6c25c525f8ecc7bd,2017-08-05 22:25:00,2017-08-25 20:26:00,2017-09-11,delivered,109.45,19,20.0,73,226,73,73,1,Clothing,SC,1
74,0f548bd29148ebc519d6495e37a284e1,1,2017-06-26 22:10:00,199.99,65.56,5476fc5a4a6fd7f746b9e0461a585ec8,2017-09-03 08:06:00,2017-09-08 16:26:00,2017-09-27,delivered,265.55,53,5.0,74,191,74,74,1,Gadgets,MG,1
75,0f93b20928bc59f8571a39b03ed0c1bb,1,2018-03-15 10:35:00,99.9,19.67,d7104510a89e6fb895b8104650173787,2017-09-25 09:48:00,2017-10-10 22:58:00,2017-10-19,delivered,119.57000000000001,27,15.0,75,159,75,75,1,Musical Instruments,MG,1
76,0f93c58739ea2f69d93afa96a7a07855,1,2018-05-21 17:32:00,78.0,8.9,9dfcc502727549f99c9f73dbd28b35e9,2017-11-21 11:44:00,2017-12-07 21:10:00,2017-12-12,delivered,86.9,23,16.0,76,107,76,76,1,Decor,SC,1
77,0fc5deb2df203e00080d925c2c8d1dfd,1,2018-05-21 17:32:00,78.0,8.9,24807abbbdb040003fa4c1f72b686431,2018-07-21 15:08:00,2018-07-28 19:08:00,2018-08-07,delivered,86.9,28,7.0,77,277,77,77,1,Books,SP,1
78,0fcddd81b836920211d255a9bd25ae50,1,2017-11-27 03:47:00,155.0,14.84,de94076bba3c66ffaaa867d14a663cbe,2017-10-19 09:31:00,2017-10-30 22:31:00,2017-11-10,delivered,169.84,46,11.0,78,68,78,78,1,Kitchen Products,SP,1
79,1018e87031636df2c2dfa4af21df3642,1,2018-07-04 17:11:00,249.9,34.23,aaf46bd4e1ad43275a5a20bd485e7661,2017-05-05 20:49:00,2017-05-18 11:54:00,2017-06-05,delivered,284.13,21,13.0,79,75,79,79,1,Jewelry,SC,1
80,101d45ec36017120849bced34020c170,1,2018-03-27 13:15:00,53.98,23.31,1bd843b2bc9b09595f3ed35d4f031506,2017-11-22 09:51:00,2017-12-06 14:16:00,2017-12-12,delivered,77.28999999999999,28,14.0,80,155,80,80,1,Furniture,RS,1
81,10440809f608f9f9bbec0bf06a82b160,1,2017-08-10 09:30:00,8.99,32.57,14843983d4a159080f6afe4b7f346e7c,2018-06-10 22:51:00,2018-06-14 23:51:00,2018-06-20,delivered,41.56,52,4.0,81,7,81,81,1,Gadgets,SP,1
82,106ff3ba3e84e22713bf2a10c582fd94,1,2017-08-10 09:30:00,44.9,7.16,41b75ed52acfa208903915c459a5e3fd,2018-04-08 01:21:00,2018-04-20 10:03:00,2018-04-25,delivered,52.06,25,12.0,82,279,82,82,1,Clothing,SP,1
83,10758901b602fdec377ba3f189e531f5,1,2017-11-29 23:13:00,60.6,17.67,31d436bafbad927dc79b130826dc3404,2017-11-21 16:40:00,2017-12-12 01:08:00,2017-12-07,delivered,78.27000000000001,20,21.0,83,183,83,83,0,Toys,SP,0
84,10bce195e3966122a3dd0e2aa676f761,1,2018-04-06 17:10:00,225.0,67.24,6b1070bfaad94d225e6cab57b47e2326,2017-01-19 13:38:00,2017-01-27 10:42:00,2017-02-21,delivered,292.24,18,8.0,84,163,84,84,1,Appliances,SP,1
85,10e0435082ce8df9498c8d5fa6d79fad,1,2018-08-17 15:04:00,39.9,15.38,77e0a2e2281e2a533eb62268371a4bc6,2017-05-23 10:33:00,2017-05-29 09:49:00,2017-06-14,delivered,55.28,18,6.0,85,168,85,85,1,Furniture,SP,1
86,10e080f0e43ef41f43b9ff6da4451835,1,2018-04-17 09:12:00,76.0,34.07,0be419a69453900fff1337bc4c3e0f0f,2017-03-02 21:27:00,2017-03-28 00:00:00,2017-03-28,unavailable,110.07,30,26.0,86,181,86,86,1,Makeup,SP,1
87,1103b5da42ef752c4264d8e1b942aa3f,1,2018-03-15 19:28:00,159.0,27.19,fd45ef982d27eb5aaa153990b7c8140b,2017-06-16 17:54:00,2017-06-22 13:03:00,2017-06-29,delivered,186.19,23,6.0,87,263,87,87,1,Home Design,SC,1
88,110d9355d6338eab0a65a0cacdde5434,1,2017-05-24 19:22:00,102.9,14.45,4e0e24ed6b791dca50eacced49d5e2d1,2018-07-24 21:30:00,2018-08-02 19:46:00,2018-08-10,delivered,117.35000000000001,51,9.0,88,222,88,88,1,Accessories,SP,1
89,11642b906362f0d80a1228e1fa45a18e,1,2017-05-24 19:22:00,102.9,14.45,c836c92436fdcd6e5475ef442481385c,2018-02-24 17:10:00,2018-03-19 23:32:00,2018-03-16,delivered,117.35000000000001,21,23.0,89,138,89,89,0,Gadgets,SP,0
90,1166c0cee90e165a1b3cf275339be6cc,1,2017-07-28 03:45:00,63.9,16.89,1cdf413d3539b5e8c100bea1ec5a881f,2018-07-21 19:29:00,2018-07-30 21:38:00,2018-08-13,delivered,80.78999999999999,19,9.0,90,166,90,90,1,Art,RJ,1
91,119060af27b04f5fae8b2b0e27eef7f9,1,2018-05-02 22:10:00,168.8,8.21,ccd9fc8fd74bc87817d864a5dfc1bf1d,2018-06-11 14:34:00,2018-06-14 22:18:00,2018-07-05,delivered,177.01000000000002,25,3.0,91,305,91,91,1,Jewelry,SP,1
92,1190d4d9e67a90f9de44a7db2a0ceb52,1,2017-09-29 17:50:00,59.9,9.94,e3170caa179176b49f1265ffde5c27fc,2017-04-20 22:05:00,2017-05-13 12:05:00,2017-05-10,delivered,69.84,19,23.0,92,299,92,92,0,Shoes,RJ,0
93,11a712e608d2c5d35b89246489db966d,1,2017-09-29 17:50:00,59.9,9.94,bfb0780e4148d65b5490d6195da4bcb0,2017-12-28 20:21:00,2018-01-26 23:34:00,2018-02-19,delivered,69.84,58,29.0,93,132,93,93,1,Appliances,SP,1
94,11c8a3b7adc8c5c3f5ae4f0257c5e953,1,2018-07-18 04:25:00,232.75,28.58,bacd3fc37792ceefcb45e0e90c9ffe42,2017-10-16 19:17:00,2017-10-19 16:14:00,2017-10-26,delivered,261.33,27,3.0,94,83,94,94,1,Books,RJ,1
95,121359da115bccea4657956562bb3266,1,2018-08-23 15:11:00,48.9,18.44,6acc5385a15c441abe050fc7abda50bf,2017-06-25 13:59:00,2017-07-26 16:04:00,2017-07-18,delivered,67.34,37,31.0,95,196,95,95,0,Kitchen Products,SP,0
96,123bf681d8f2bbf410339ccef14d9c42,1,2017-08-23 01:25:00,87.0,12.11,d3857f98166ef23ca95d44cbe9b1828c,2018-07-04 13:31:00,2018-07-24 13:12:00,2018-07-30,delivered,99.11,33,20.0,96,199,96,96,1,Makeup,SP,1
97,12437f8c2f1cd4825ce82cc6e42ec5a6,1,2017-12-12 01:29:00,131.9,18.54,249749451a0cae7e2de98adce5811f02,2017-07-05 17:24:00,2017-07-15 12:28:00,2017-07-25,delivered,150.44,31,10.0,97,336,97,97,1,Shoes,SP,1
98,12958a97a4e26a4e7dd8bce7de8955b9,1,2018-02-27 03:31:00,19.9,14.1,570eb70ff97166b85ea96be3bfb65fef,2018-01-13 13:21:00,2018-01-24 20:13:00,2018-02-15,delivered,34.0,58,11.0,98,186,98,98,1,Accessories,SP,1
99,12c52aeb1dba3fcbef2e36accacca1e4,1,2018-08-08 15:10:00,136.99,66.04,3ee932c2f695c34affbbeb9a299c8166,2018-02-13 15:19:00,2018-02-22 15:52:00,2018-03-08,delivered,203.03000000000003,49,9.0,99,214,99,99,1,Furniture,SP,1
100,132761d24f94ef259bcbde9dacecb2e2,1,2017-10-19 01:07:00,399.99,23.64,e5ab9d9cc98f8d5befc51f952a44c87b,2017-12-14 20:43:00,2018-01-11 18:46:00,2018-01-10,delivered,423.63,25,28.0,100,122,100,100,0,Clothing,MG,0
