DW Seller,seller_id,seller_city,seller_state,Seller_Gender,Seller_Birthdate,seller_size_category,Age ,Age-Group
27,2078fe5066350e7d220c0ad3a3bbc6c1,arapongas,PR,M,2001-05-19,small,24,18-24
28,116ccb1a1604bc88e4d234a8c23f33de,sao bernardo do campo,SP,F,1978-02-12,large,47,41-60
29,430315b7bb4b6e4b3c978f9dfa9b0558,sao paulo,SP,M,1997-01-24,medium,28,25-30
30,406822777a0b9eb5c50e442dd4cd3ec5,tatui,SP,M,1996-11-14,large,29,25-30
31,4dbd95a08b31ede5c82d3f861cb1ce1a,curitiba,PR,F,2003-11-06,medium,22,18-24
32,e9e446d01bd10a97a8ffcfc4a3a20cb2,sao paulo,SP,M,2004-06-26,small,21,18-24
33,d52cbce9845184537284a23c3bc3da0e,garopaba,SC,F,1996-08-06,small,29,25-30
34,d9a84e1403de8da0c3aa531d6d108ba6,sao paulo,SP,M,1998-02-04,large,27,25-30
35,9c690ceacd5c66731bf443ea810195cb,camanducaia,MG,F,1993-09-21,medium,32,31-40
36,1f9ab4708f3056ede07124aad39a2554,tupa,SP,F,1996-07-01,large,29,25-30
37,1961c3e1272bfeceb05d0b78b5bbfdaf,guarulhos,SP,M,1999-07-24,small,26,25-30
38,d3e7d37c0df9aef383f3f2a15b0dddfb,sao jose dos pinhais,PR,M,1999-11-21,small,26,25-30
39,ec2e006556300a79a5a91e4876ab3a56,sao paulo,SP,M,2003-05-18,small,22,18-24
40,b2a6d334e2833acea353624840e25a0e,sao paulo,SP,F,1997-11-22,medium,28,25-30
41,d3674f271c91f824f82d24d92011f669,brasilia,DF,M,2001-07-15,medium,24,18-24
42,768de2a4fc06aacecb9a586ccc30746a,brasilia,DF,M,1976-09-01,medium,49,41-60
43,a81466620e46a6970b22ef40379fdfc9,sao ludgero,SC,M,1995-06-23,small,30,25-30
44,5c030029b5916fed0986310385ec9009,sao jose,SC,M,1972-01-23,medium,53,41-60
45,c0f783394e37cd9c9d7f5f81141450fa,piracicaba,SP,F,1996-04-24,medium,29,25-30
46,c353f8fc0ce8344999f17d578eb69a5e,porto alegre,RS,F,1966-08-03,small,59,41-60
47,8444e55c1f13cd5c179851e5ca5ebd00,congonhal,MG,M,2004-10-16,large,21,18-24
48,28a26ebce31d5918b181ede016fd693b,belo horizonte,MG,F,1995-02-08,small,30,25-30
49,41ab63a91b8b264e8c8780368bf1dd5b,belo horizonte,MG,M,1997-11-26,medium,28,25-30
50,8759e7aedd644f487315e5860962f162,santo andre,SP,F,2004-12-27,small,21,18-24
51,e546117ed9cafbc40239c0c78635c584,sao paulo,SP,M,1971-08-15,small,54,41-60
52,d71d863e5ef30d94e440c11be17dcd8f,osasco,SP,F,2001-02-26,medium,24,18-24
53,0c7533c71df861ec58ad7ff999ed0e8d,valinhos,SP,M,1983-06-28,large,42,41-60
54,ef990a83bbea832f36ebe81376335aa8,joinville,SC,M,1996-12-14,large,29,25-30
55,41e0fa5761c886a630994a55c12087e7,guaruja,SP,M,1974-02-15,small,51,41-60
56,0747d5bb69f0586cc869d8af4c50f93e,saquarema,RJ,M,2000-01-14,medium,25,18-24
57,7d294cf9a6a69dc6a0c3e540fff0e039,barra velha,SC,M,1992-08-24,small,33,31-40
58,c89cf7c468a48af70aada384e722f9e2,petropolis,RJ,F,1987-01-11,medium,38,31-40
59,b7ba853e9551f4558440881fd3e5c815,santo antonio da patrulha,RS,M,1993-12-17,small,32,31-40
60,13c2ed7698b3ca92dad49e849219da59,ponta grossa,PR,F,1989-04-18,medium,36,31-40
61,cbbd5ae8f53de5f5097cd8217b529e24,santana de parnaiba,SP,F,1996-05-26,small,29,25-30
62,02ecc2a19303f05e59ce133fd923fff7,santo andre,SP,F,2002-02-13,medium,23,18-24
63,c013e57c075a06e5b5c48ee03c525719,sao carlos,SP,M,1999-07-26,large,26,25-30
64,55f7a3319d80f7fdf078b8f03e6725fe,osasco,SP,F,2001-02-15,medium,24,18-24
65,2d50d6282f8aa2257819a77bfaa0efe0,ibitinga,SP,M,1976-08-12,large,49,41-60
66,b7e1750c1157341d2abd0251e07c186b,sao paulo,SP,M,1977-02-08,small,48,41-60
67,b90e891671cffd9557f33a97dc523645,sao jose dos pinhais,PR,F,1998-04-06,large,27,25-30
68,a416b6a846a11724393025641d4edd5e,sao paulo,SP,M,1996-12-21,large,29,25-30
69,7e93a43ef30c4f03f38b393420bc753a,barueri,SP,M,1996-04-03,large,29,25-30
70,5206cc4bc2297c833e6061c49bf9c43f,osasco,SP,F,2000-09-03,small,25,18-24
71,f410c8873029fcc3809b9df6d0b28914,caxias do sul,SP,F,1996-08-09,small,29,25-30
72,ef506c96320abeedfb894c34db06f478,sao paulo,SP,F,1998-01-13,large,27,25-30
73,a13aaf2d2886ab9fb30fb9a920160b8f,joinville,SC,F,1976-11-20,small,49,41-60
74,7299e27ed73d2ad986de7f7c77d919fa,araguari,MG,M,1980-05-10,large,45,41-60
75,8a9260f2b0340411d6d2a56bcf4f7378,contagem,MG,M,2000-03-05,medium,25,18-24
76,dedcab67899479e4ea5dcc4eba47f587,jaragua do sul,SC,M,2000-09-02,small,25,18-24
77,b2479f944e1b90cf8a5de1bbfde284d6,ibitinga,SP,F,1997-02-06,large,28,25-30
78,7722b1df1b0e383e000397b2c11e3e19,sao bernardo do campo,SP,M,1997-06-12,large,28,25-30
79,731ef20c231d9a7103a425e83fd91271,lages - sc,SC,M,1996-02-04,small,29,25-30
80,78813699ffac347fe27dba345a5f1551,bento goncalves,RS,M,2002-11-06,small,23,18-24
81,3296662b1331dea51e744505065ae889,catanduva,SP,M,2005-07-02,small,20,18-24
82,411f3b52d857390502ee4e4d5ceabc2d,ribeirao pires,SP,M,2002-10-13,medium,23,18-24
83,bba3293d6f5d5af2f415e004e8b93ae3,sao paulo,SP,F,2003-11-05,medium,22,18-24
84,4e7c18b98d84e05cbae3ff0ff03846c2,jaboticabal,SP,M,2003-04-09,large,22,18-24
85,b56906f7fd1696e043f1bcce164c487b,echapora,SP,F,1997-11-22,large,28,25-30
86,d650b663c3b5f6fb392b6326366efa9a,cotia,SP,M,1999-04-24,large,26,25-30
87,669ae81880e08f269a64487cfb287169,rio do sul,SC,M,1992-05-04,large,33,31-40
88,c2d70ce2c5d0a2eb75e78668236e6dc8,sao paulo,SP,M,2007-08-21,medium,18,18-24
89,674207551483fec113276b67b0d871ff,sorocaba,SP,F,1978-12-15,small,47,41-60
90,abe42c5d03695b4257b5c6cbf4e6784e,rio de janeiro,RJ,F,1988-07-08,large,37,31-40
91,1996942dc085d7773ba77a529b163cd0,pradopolis,SP,F,1996-03-09,medium,29,25-30
92,79b93a308a97792cf53ac75f46da00b5,rio de janeiro,RJ,M,1990-02-20,small,35,31-40
93,7cf4ea70955b00d6b3c22542598e2715,sao paulo,SP,M,2002-08-24,small,23,18-24
94,63ffcb71394dd8ea3872ed9ffda17c74,itaborai,RJ,F,1997-04-15,medium,28,25-30
95,83353a83fd769dfafa4f21a72b15e3e5,sao paulo,SP,M,1982-02-09,small,43,41-60
96,cda598c48d7c614bc1cad7d8ff6f0010,mirassol,SP,M,2005-12-14,medium,20,18-24
97,d4910f1cdcfdabd48d6b316e395d4a23,santo andre,SP,M,2001-11-19,medium,24,18-24
98,709e16e2b25c7474d980076c6bfc4806,birigui,SP,M,1970-03-26,large,55,41-60
99,9dc79dd988ac42f4d56c340d7048420a,sao paulo,SP,F,1983-06-01,small,42,41-60
100,276677b5d08786d5dce7c2149dcce48b,belo horizonte,MG,M,1995-08-04,large,30,25-30
101,9c4d31c7e46ab03a43fc06e3142afd4e,rio de janeiro,RJ,M,2003-10-05,small,22,18-24
102,512d298ac2a96d1931b6bd30aa21f61d,rio de janeiro,RJ,M,1995-06-12,medium,30,25-30
103,422be4cc81a457fdb46f47edeb968ae5,ibitinga,SP,M,2002-02-03,small,23,18-24
104,99cd94252748d2bdde08e17858233602,sao paulo,SP,F,1968-04-28,small,57,41-60
105,698624c6632eeba1774924dbea24c700,sao paulo,SP,M,2000-06-05,small,25,18-24
106,8bb48dc19fccaa8613b6229bf7f452a2,assis,SP,M,1994-09-06,large,31,31-40
107,ad87df7699e83b8a91822a4a0b765c3a,jaguariuna,SP,M,1970-08-25,medium,55,41-60
108,d6b664fa0667064c6d76394e7848d790,araraquara,SP,F,1998-12-11,medium,27,25-30
109,98f52e1020fe788c10c0418de4393fec,macae,RJ,M,2006-09-19,small,19,18-24
110,62760d278921b5f352461620d68a9cee,salto,SP,F,1995-01-02,small,30,25-30
111,eb72802c83dc7547529c9546d1a9b8ef,rio claro,SP,M,2004-03-03,medium,21,18-24
112,3f9be91358837bff69df67edfa3e42e8,londrina,PR,F,2003-03-09,medium,22,18-24
113,1d4587203296c8f4ad134dc286fa6db0,sao paulo,SP,M,1991-02-14,large,34,31-40
114,791cfcfe22fe4a771ece27f90017da92,ribeirao preto,SP,M,2004-04-05,small,21,18-24
115,392f7f2c797e4dc077e4311bde2ab8ce,rio de janeiro,RN,M,1980-09-10,small,45,41-60
116,0c8380b62e38e8a1e6adbeba7eb9688c,tres coracoes,MG,M,1970-08-06,large,55,41-60
117,37be5a7c751166fbc5f8ccba4119e043,sao paulo,SP,F,2004-09-16,large,21,18-24
118,87d73636a3acf123e842bb890a4db036,nhandeara,SP,F,2002-09-03,small,23,18-24
119,3d3ccf2b2f8134b10dce9dd446f0e075,ibitinga,SP,F,2003-01-20,small,22,18-24
120,e24d3429d294b2eb200b064ebb035879,sao paulo,SP,M,1999-07-06,medium,26,25-30
121,44073f8b7e41514de3b7815dd0237f4f,brasilia,DF,M,1998-10-14,large,27,25-30
122,05ca864204d09595ae591b93ea9cf93d,barueri,SP,M,1967-11-12,small,58,41-60
123,9d39404483343dd55c7ae254494d8388,sao paulo,SP,M,1976-04-19,medium,49,41-60
124,f9eda05b67bef472deaddbba84aca289,orleans,SC,M,1996-07-16,small,29,25-30
125,75745ef7bc7d4f3ea3380f6f5303f514,brasilia,DF,F,1992-04-23,small,33,31-40
126,0692610d8abe24f287e9fae90ea0bbee,sao paulo,SP,M,1987-12-10,small,38,31-40
127,7b07b3c7487f0ea825fc6df75abd658b,sao paulo,SP,M,1995-03-10,large,30,25-30
128,99002261c568a84cce14d43fcffb43ea,cuiaba,MT,M,2000-02-26,large,25,18-24
129,e5899683388855d3dabe8913bbe365de,sao carlos,SP,F,2003-09-12,small,22,18-24
130,784ba75dd9d20200c4caed3d7a77141a,sao paulo,SP,M,2004-02-20,medium,21,18-24
131,099095b050cfe8eb1ddff5317587e96e,sao paulo,SP,F,2007-07-13,medium,18,18-24
132,0ad80de75c811326389cfb1daba7d45e,rio de janeiro,RJ,M,1995-06-23,medium,30,25-30
133,b9a03475e6447e631b6799ec8274800f,formosa do oeste,PR,F,1969-04-19,medium,56,41-60
134,ba6b4a237f92479743cf0ca06b67a9ac,rio de janeiro,RJ,M,2002-12-14,medium,23,18-24
135,ea00f977a203ff88adf7057cb7806998,santos,SP,F,2001-03-17,medium,24,18-24
136,82e0a475a88cc9595229d8029273f045,sao paulo,SP,M,1974-06-08,large,51,41-60
137,ad75519a07f039025e83795a4418470f,santa terezinha de goias,GO,F,1999-09-02,small,26,25-30
138,34aefe746cd81b7f3b23253ea28bef39,curitiba,PR,F,2004-05-17,small,21,18-24
139,ed4acab38528488b65a9a9c603ff024a,sao paulo,SP,M,1974-04-20,large,51,41-60
140,f0837c8d71434931d9e38e7b79234797,arvorezinha,RS,F,1996-06-08,medium,29,25-30
141,fce62094ffe6a4009188ec44e681dfdd,sao paulo,SP,M,1996-08-01,small,29,25-30
142,ebef8d8c92b4fd3226e5d407bbff21ac,ribeirao preto,SP,F,1996-10-19,small,29,25-30
143,d73cbd89533ce8b041a9190241453ac8,guiricema,MG,M,2003-07-13,small,22,18-24
144,75a4764c108403a7a0575140cb22287c,caxias do sul,RS,M,1997-04-18,small,28,25-30
145,70c0fda4c313d87115644d39e62eec60,caruaru,PE,M,1997-11-14,small,28,25-30
146,ffcfefa19b08742c5d315f2791395ee5,curitiba,PR,F,2001-04-07,small,24,18-24
147,26e13b6ff5b641b329e5524241ee2c93,franca,SP,M,1998-03-11,small,27,25-30
148,0ade5cc4a305ed7093a23f68ca47519c,curitiba,PR,M,1998-03-26,small,27,25-30
149,fc59392d66ef99377e50356ee4f3b4e1,salvador,BA,M,1973-06-18,small,52,41-60
150,b18dc380845b24038cfc48006478f099,diadema,SP,F,1992-03-15,large,33,31-40
151,f22a247b79dd22ecd91dc8e3b2a1b07c,itaquaquecetuba,SP,M,2004-07-17,medium,21,18-24
152,889009a0ed0bb52c87819941192931b8,lencois paulista,SP,M,2003-04-24,small,22,18-24
153,ffc470761de7d0232558ba5e786e57b7,guarulhos,SP,M,1997-12-13,medium,28,25-30
154,4c498c7345e89aebad651544829beca0,carapicuiba,SP,M,1998-09-21,large,27,25-30
155,01bcc9d254a0143f0ce9791b960b2a47,uruacu,GO,M,2001-10-16,medium,24,18-24
156,f021c962aaba8ef6eb527a9c2c8394d1,itajai,SC,M,2007-06-21,small,18,18-24
157,024b564ae893ce8e9bfa02c10a401ece,sao paulo,SP,M,2006-07-27,small,19,18-24
158,a513150f33f99a06569e9cd5c4bb889b,sao paulo,SP,F,1996-04-15,small,29,25-30
159,c1dde11f12d05c478f5de2d7319ad3b2,sao paulo,SP,M,1979-03-04,small,46,41-60
160,02f5837340d7eb4f653d676c7256523a,curitiba,PR,F,1976-02-05,medium,49,41-60
161,7b98de631987e26dd6d803490c43a13c,loanda,PR,M,1999-08-21,medium,26,25-30
162,f12ff17ad8bbf01ec5c33b17e506649b,sao paulo,SP,M,1997-08-02,medium,28,25-30
163,a64e44665225d19dfc0277eeeaaccc57,sao paulo,SP,M,1996-10-26,medium,29,25-30
164,6a8a889bde935bafa76d7848782dfaf9,sao paulo,SP,M,1996-04-27,medium,29,25-30
165,42b6488f5b8246d9141712abd4b1b693,maringa,PR,M,1997-06-06,small,28,25-30
166,d6cd01c59123df02fc226eadbadb5f89,sao paulo,SP,M,2000-08-24,small,25,18-24
167,c8e135e7b21ecbc36c1153a29d2f5a06,sao paulo,SP,M,1996-04-11,medium,29,25-30
168,229c3efbfb0ea2058de4ccdfbc3d784a,belo horizonte,MG,M,1996-03-17,large,29,25-30
169,f9a02f1922d1de564392e656d82b3fda,ferraz de vasconcelos,SP,F,1996-10-22,small,29,25-30
170,9523fb39dd240aa958e040f8183d64f3,sao paulo,SP,M,1969-09-27,small,56,41-60
171,95ec4458365c4d11f452ccf538377619,limeira,SP,M,2000-06-28,medium,25,18-24
172,6ec1a01e866584bb679eb9b098345919,santos,SP,M,1996-01-23,large,29,25-30
173,f6122bc84774df1b372bdb3bb88ddb9f,barueri,SP,M,1984-06-13,small,41,41-60
174,fa40cc5b934574b62717c68f3d678b6d,sao paulo,SP,F,1981-04-08,large,44,41-60
175,623ad9d0c1e14bb5464a8c72bff7b4af,claudio,MG,M,1973-10-04,small,52,41-60
176,c0098efcf800861dcae589affca31408,ribeirao preto,SP,M,1995-03-06,medium,30,25-30
177,a63bfbaa882c8f4542891b4e2246cc7f,niteroi,RJ,M,1976-07-18,medium,49,41-60
178,48b6c3f4c6a93171da04b75313f2130f,osvaldo cruz,SP,F,2003-11-25,small,22,18-24
179,270d3ef21830ad0ecf3a6c53d08a533a,carapicuiba,SP,M,1999-07-09,medium,26,25-30
180,89c127985a8b130cfa45c1d36764017a,osasco,SP,F,2003-04-07,medium,22,18-24
181,8b2492b7ff4468839593fafeed55bad9,sao goncalo,RJ,M,2003-08-02,medium,22,18-24
182,1e9d5a33694bddb76316fd1f54734d20,jaciara,MT,M,1984-12-24,small,41,41-60
183,5e49e3a44bdeb5aab2684258bbd4f525,balenario camboriu,SC,M,1972-03-22,small,53,41-60
184,8e34331b7eedd03be4e5d965c1956225,sao paulo,SP,M,1996-02-07,small,29,25-30
185,aaed1309374718fdd995ee4c58c9dfcd,timbo,SC,M,2006-12-13,large,19,18-24
186,11d4c477d09821164bca4f70a2eae031,ribeirao preto,SP,F,1969-07-11,small,56,41-60
187,ff314fa6033cc68ec451c47aee2d6ba4,sao paulo,SP,M,2004-04-19,small,21,18-24
188,d1c7fa84e48cfa21a0e595167c1c500e,jacutinga,RS,F,2001-11-28,medium,24,18-24
189,c7246702dc991a06d788120dc7544391,fortaleza,CE,F,2004-06-25,small,21,18-24
190,e819bcfade7b5d88a27325eb6cfd62c5,guarulhos,SP,M,2000-12-17,small,25,18-24
191,6d2f2e3b539480db1e0842b3a4e32e6e,guarulhos,SP,M,1994-09-05,small,31,31-40
192,e88165a185134e13fdfc85d4fa654db8,ferraz de  vasconcelos,SP,M,2004-03-14,small,21,18-24
193,9e6229250fedbe05838fef417b74e7fb,mirandopolis,SP,F,1978-04-02,large,47,41-60
194,5abb8ea023c77787f2c15da891c8d384,joinville,SC,F,1996-03-08,medium,29,25-30
195,1d953075c2f0dd990bacf27b83b330f1,belo horizonte,MG,M,1995-05-16,small,30,25-30
196,817245bcc3badd82bbd222e0366951a6,bauru,SP,F,1998-01-08,medium,27,25-30
197,caa9bc43a9fe8cf9c564ddd8a03cc4a6,jacarei,SP,F,2001-10-05,medium,24,18-24
198,615005a3ef192c00c6f0e977cee3d2bc,itu,SP,M,1970-05-25,medium,55,41-60
199,1284de4ae8aa26997e748c851557cf0e,laranjeiras do sul,SP,M,1973-09-20,small,52,41-60
200,5fd924b4836098a5be0ecf81ba054ce0,sao paulo,SP,M,1984-02-26,medium,41,41-60
201,7178f9f4dd81dcef02f62acdf8151e01,videira,SC,M,1979-05-13,large,46,41-60
202,8132b9bd16876e1b0f8808d43825dd48,florianopolis,SC,F,2002-03-23,small,23,18-24
203,3f995f07c49d0d55a99d5c54957f7d81,itapecerica da serra,SP,M,1998-09-27,large,27,25-30
204,a6bd7d1ccdac48c6b33b28596b7eb122,mamanguape,PB,F,1996-09-08,medium,29,25-30
205,6650fcccd8cd2f7e55ffa524f30c4c59,sao paulo,SP,M,1996-12-11,small,29,25-30
206,3db66a856d18a9cba7c9241fc5221c50,ponte nova,MG,F,2001-08-21,large,24,18-24
207,8b181ee5518df84f18f4e1a43fe07923,goioere,SP,F,1995-06-14,small,30,25-30
208,10ff823eda2b032e2c93d17a7d294736,pederneiras,SP,M,1975-11-10,medium,50,41-60
209,b4a476fbd28de64b1e347abf9089366a,itapevi,SP,M,1976-06-01,large,49,41-60
210,39c763cca83e654764b7a4a650fb9b7c,goiania,GO,M,1973-08-07,medium,52,41-60
211,dadc51ef321949ec9a3ab25cd902e23d,sao paulo,SP,F,1997-08-22,small,28,25-30
212,83b08de96980757220871b31bf6cffca,rio de janeiro,RJ,M,1976-11-12,small,49,41-60
213,14a08204d03bb6b6bde8029f801ae0eb,sao paulo,SP,M,1995-08-11,medium,30,25-30
214,bee36b4f9a2b9fdcaff6ec05df202ed0,sao paulo,SP,M,1976-11-21,small,49,41-60
215,28872dc528e978a639754bc8c2ce5a4c,caxias do sul,RS,M,2004-12-23,small,21,18-24
216,c85d7b477a709c85a1e8b8f25aa1b270,sao bernardo do campo,SP,M,1999-06-17,small,26,25-30
217,739c7d7be81f63812dea0d1b1451c651,campina grande,PB,F,1998-09-22,small,27,25-30
218,657969cca82e884d272385ec0ef06edd,estancia velha,RS,F,1999-04-12,small,26,25-30
219,455befea1bb853c75ccbca94cff26e5c,resende,RJ,M,1993-06-21,small,32,31-40
220,800214c63934acd05d47e84214db8ba8,jaragua do sul,SC,M,2002-03-04,small,23,18-24
221,5cf1ec37aea089f45110c70653a166ab,sao paulo,SP,M,2003-11-18,small,22,18-24
222,0a82f5fb06a4fe4ac2cf7cb412ec71b8,sao paulo,SP,F,1994-11-24,small,31,31-40
223,e45edf75f568ed2f93f78d060e246e25,rio de janeiro,RJ,M,2006-03-20,medium,19,18-24
224,3d621842b2ed28e2b474132480edac3c,sao paulo,SP,F,1995-11-25,medium,30,25-30
225,baf15155e37ef5492731459bdc05be8a,sao paulo,SP,M,1998-03-10,small,27,25-30
226,c0aff2da32c17759d30b22fb0af6649d,florianopolis,SC,F,1999-11-19,small,26,25-30
227,a17f621c590ea0fab3d5d883e1630ec6,sorocaba,SP,F,1997-08-18,large,28,25-30
228,4deebb3199eeafb282ae33229144f94b,sao paulo,SP,F,1980-04-17,small,45,41-60
229,9d69ba0a7a626a64dc5db08e529559cf,ribeirao preto,SP,F,1979-04-15,small,46,41-60
230,f92d8c817434bd2d84d4e9c61322b7fa,sorocaba,SP,F,1997-02-18,small,28,25-30
231,8ca5b19e0263150d2c57afdde2b3d011,maua,SP,M,1999-04-11,small,26,25-30
232,eec3469d83e142f9a104886655338c37,bauru,SP,M,1988-07-27,small,37,31-40
233,55bb6fe5bebe5012e2d7d9928e1128ff,bauru,SP,M,2002-03-25,medium,23,18-24
234,d180e07dc1e58c31c3f0cd599dc4d945,belo horizonte,MG,M,1998-04-27,small,27,25-30
235,d6b1ce66b035a475f00c017792ff9769,salto,SP,M,1972-05-27,large,53,41-60
236,3aa3c89ae3cd482385568be76120f63c,goiania,GO,F,1997-08-24,small,28,25-30
237,fe4cd9461203cee790d36792420b310f,caratinga,MG,M,2004-10-12,small,21,18-24
238,c3aad7dc65449ae90a5e9c3c6c1e78e0,auriflama/sp,SP,M,2003-04-28,medium,22,18-24
239,f5fea3ffed6c2e889bab72705557c63a,rio de janeiro,RJ,M,1971-05-19,small,54,41-60
240,ececbfcff9804a2d6b40f589df8eef2b,franca,SP,F,1999-09-25,large,26,25-30
241,a254c682cc01e119f83530446f1df9a9,cafelandia,SP,M,1998-07-07,medium,27,25-30
242,830379336fad8c6f3b15a4a3ddb5c66e,sao paulo,SP,M,1992-01-03,small,33,31-40
243,7d13fca15225358621be4086e1eb0964,ribeirao preto,SP,M,1995-07-10,large,30,25-30
244,1b4c3a6f53068f0b6944d2d005c9fc89,sao ludgero,SC,F,2004-05-17,large,21,18-24
245,b92e3c8f9738272ff7c59e111e108d7c,uba,MG,M,2000-02-28,large,25,18-24
246,b8555308bfdb4ca1ed54325a58da9a97,sao bernardo do campo,SP,F,2002-08-09,medium,23,18-24
247,71593c7413973a1e160057b80d4958f6,sao paulo / sao paulo,SP,F,2002-08-05,small,23,18-24
248,1dc2de47ee26a0a5b12dc14fd6dc0dea,ibitinga,SP,M,1990-11-19,medium,35,31-40
249,6c6e3d67f969468f3bfd33f827a31222,maringa,PR,M,1976-01-28,small,49,41-60
250,66d5ae34537110d3affc56174dad2b2f,sao jose do rio preto,SP,M,2005-09-22,small,20,18-24
251,781a66c0d89e30814d49fe8b5e14cd07,campinas,SP,M,2000-12-23,small,25,18-24
252,a4bd6e9adf39b63f43dc545d3ca1f53d,rio de janeiro,RJ,M,1989-06-22,small,36,31-40
253,f88adb15807168d3c43d71021090ce4a,porto ferreira,SP,M,2002-05-04,small,23,18-24
254,fa8d335d68129e464e60c1826a683e96,tres coroas,RS,F,1982-09-12,small,43,41-60
255,f12d3c2a14729ae461b920c11fe20fdc,santo andre,SP,M,1974-03-15,medium,51,41-60
256,4917cee8d902e13428c3ec4b1ca6f315,blumenau,SC,F,1970-12-02,large,55,41-60
257,741f8c587cb4248ebc5b779a0e8e0e51,santo andre,SP,M,1983-04-02,small,42,41-60
258,4bcec44888b30ba9001234c534716d3f,santo andre,SP,M,1981-04-17,small,44,41-60
259,a663d9c3797e90eac99ff60939416a56,sao paulo,SP,M,1968-07-07,small,57,41-60
260,dff87e4de60c9736ce8df835951b09bc,sao paulo,SP,M,2001-12-03,small,24,18-24
261,ac1ed5fc15901fbc92920361eb4ab350,sao paulo,SP,M,2004-07-12,small,21,18-24
262,f9903dd0f812c7e771fcad47b6fff231,blumenau,SC,M,2001-10-03,medium,24,18-24
263,ac9b01377919cdbd2a1bbb8d5837c70b,mogi das cruzes,SP,M,1998-09-06,small,27,25-30
264,5011f0d93373a4c5753adf58ca77af8d,santos,SP,M,2002-02-21,medium,23,18-24
265,a4e634166243bbb3a13fa584463fa468,osasco,SP,M,1995-03-04,small,30,25-30
266,50bf89f1349bc0409a268c3a49678009,jaci,SP,F,1999-11-10,small,26,25-30
267,50c9975695009e5e6473912e83a6d1da,claudio,MG,M,1987-12-17,large,38,31-40
268,42d4b7e70819438f5ada61c965e92d7e,goiania,GO,M,2001-05-28,small,24,18-24
269,7aa4334be125fcdd2ba64b3180029f14,laranjal paulista,SP,F,2004-02-01,large,21,18-24
270,b14db04aa7881970e83ffa9426897925,sorocaba,SP,M,1996-10-05,large,29,25-30
271,fac1a9017ade7bdc94058fc1c969f355,sao paulo,SP,F,2005-07-04,medium,20,18-24
272,31ae0774c17fabd06ff707cc5bde005f,americana,SP,F,1998-09-28,medium,27,25-30
273,f0ec6a2adb05c62655a26dd347b8dede,sao paulo,SP,M,1999-06-02,small,26,25-30
274,cc1f04647be106ba74e62b21f358af25,sao paulo,SP,F,1971-09-09,small,54,41-60
275,1099a00e0ee3a50935e6c2447ca090c5,rio de janeiro,RJ,M,2001-12-28,small,24,18-24
