DW Product,product_id,product_category_name,product_weight_g,Product_status_to_Delete,Weight_Category
146,ff0ba1ffc67724ddc6db331bd417ef67,Home Design,517,in stock,Light
147,ff09b38ea3889c433325e313807936ea,Home Design,1600,in stock,Medium
148,ff0303657c756073d669ed516070eb3e,Pets,150,in stock,Light
149,ff0253002f8f3b78103899fc6f6ba120,Jewelry,50,in stock,Light
150,ff01ba3d3676dd02937fd007e3f4e992,Jewelry,200,out of stock,Light
151,fef80a5fb121b63bedd4096ff28f6aaa,Art,150,in stock,Light
152,fef7934cc233ee5b1dc13094d98a1465,Makeup,5200,in stock,Heavy
153,fef63ef09494166bda2812ff585be979,Art,375,out of stock,Light
154,fef6029430dcac1403570d19150408ea,Sports,852,in stock,Light
155,fef4145d5309c82cd34bdfe608dd323c,Sports,250,in stock,Light
156,fef20920e4ff569015ea64270cd3c741,Gadgets,1200,low stock,Medium
157,fef11bcb9bda869da356243b240c07b7,Gadgets,300,in stock,Light
158,fef0dd8c53552d0f784b7cc5375a3ffe,Jewelry,600,low stock,Light
159,fef0296e6442db59700c92c692c90e90,Clothing,150,in stock,Light
160,feeed1b9f26cce6eb3cb81af65eddd9e,Appliances,700,in stock,Light
161,feee7d52babf4002f100a79183eb7989,Home Design,430,in stock,Light
162,feedec0f9090d3736d54758da8a1d05b,Art,1950,out of stock,Medium
163,fee4f51fea27d262dd116b53ddf31ce6,Bathroom,500,in stock,Light
164,fee2419d6d68dce0a48153a8179772ea,Musical Instruments,350,in stock,Light
165,fee0732d760a52d0047533f53a110037,Home Design,3500,in stock,Medium
166,feddfbd2585f9007f7ed77b1d1ae8d80,Pets,700,in stock,Light
167,fedccbd5e370e8ddb7aae6fb4cb70347,Accessories,1200,in stock,Medium
168,fedbf77eb491dfc9ac276b9ea9ee10c6,Art,350,in stock,Light
169,fedaaeb6d54cd9772c003ec97ce92ff7,Accessories,13000,in stock,Heavy
170,fed8c9425c38a8433368e5fa59592a89,Bathroom,950,out of stock,Light
171,fed7ed9a2c9239558d696bfb40fc96a9,Appliances,125,in stock,Light
172,fed5c40c27e1c88560a9e92d82ee0825,Decor,150,in stock,Light
173,fed2dca7ba471a3942a070e00ae17381,Kitchen Products,300,in stock,Light
174,fecf6223a3494f35362f670e571d2a04,Toys,800,in stock,Light
175,fec95e3df8533d6872300b23b9a5a943,Home Design,6300,out of stock,Heavy
176,fec8c282124bc6f504cbc6e9ec38450a,Kitchen Products,22100,in stock,Heavy
177,fec85e6c0eab9b4bcddf9ccd917c80bc,Toys,500,in stock,Light
178,fec76cdd2170ca10b02e2f0d81ff4123,Accessories,200,in stock,Light
179,fec565c4e3ad965c73fb1a21bb809257,Bathroom,1400,in stock,Medium
180,fec3b45dc09b257690a09a742870b149,Clothing,1650,in stock,Medium
181,fec2d939a171210847d8f2d102f0dba5,Shoes,8950,in stock,Heavy
182,fec094ad5af771b21cf38c6c9e946f19,Kitchen Products,5700,in stock,Heavy
183,febdb23f0a5a9f93c101e489d2bfd352,Toys,150,in stock,Light
184,febd6c8a7d546c876948428261e500e0,Decor,300,in stock,Light
185,feba83b90adfde26a6a944dee721e573,Books,200,low stock,Light
186,feb94d995efca232513a7baffff772b8,Sports,400,low stock,Light
187,feb593f17c2f51af2932dbba3e99f1cb,Pets,50,in stock,Light
188,feb4ade62e32b8d74c6f69f635057964,Art,12325,low stock,Heavy
189,feb18700015c20ef4ca5098a6288f6f7,Toys,10850,in stock,Heavy
190,feae5109d8485def8ad124f0653a59a7,Shoes,3100,in stock,Medium
191,fea7f0c147905a41ca324c0e3234a4c7,Gadgets,225,out of stock,Light
192,fea526cd827b9e8ef83d3e3beb1f3db0,Sports,1525,in stock,Medium
193,fea2f92877b647dc07ea8e3f4aa2cf3f,Toys,7400,in stock,Heavy
194,fe9f815c71f1651837c0f6770e533db4,Jewelry,650,in stock,Light
195,fe9dfbe7f974621789683b7b78be2a16,Makeup,5300,in stock,Heavy
196,fe9c4b2cf9c3adbaf3644880fb72254d,Home Design,14000,in stock,Heavy
197,fe95eb948375116da759c8ef60295001,Kitchen Products,800,in stock,Light
198,fe92a2b984222723a72b0a3790742623,Home Design,200,in stock,Light
199,fe9184887637170f6da65623475d6a66,Musical Instruments,600,low stock,Light
200,fe8f341b1e20d2b1135245c3400a6e53,Art,3550,in stock,Medium
201,fe8bd0b912e59890950cae5e3bf908c9,Appliances,1750,in stock,Medium
202,fe8b0ea4a95d3a6488d8e23b41720e46,Kitchen Products,450,in stock,Light
203,fe85b65a6d0ed7524aaa2e0fac0e23cb,Kitchen Products,300,in stock,Light
204,fe854c3521ccdb837e2daf3b653fb929,Toys,1168,in stock,Medium
205,fe84c88069760acf0d69497293c74f25,Accessories,250,in stock,Light
206,fe849745fcdc6e1d6864539a2b13197f,Pets,300,in stock,Light
207,fe83af233315b04d9093c7edbcf789dd,Appliances,1700,in stock,Medium
208,fe7f10e5c9d36a294333b0c35ccc24ad,Accessories,1150,out of stock,Medium
209,fe7e33eaa09b5a4a3d3aa477280db875,Bathroom,150,in stock,Light
210,fe7df6d2f5226a4be89e7f2884c88e8c,Accessories,3550,in stock,Medium
211,fe7d52482b17e6b3466f4b8f3ce51a9e,Sports,250,in stock,Light
212,fe7ad3e3828f32193dfbe6359f733a8f,Furniture,823,low stock,Light
213,fe7976532777922f0d60261e75f7ad36,Shoes,150,low stock,Light
214,fe75529a267b76ac6e96f0c322a899a4,Accessories,304,in stock,Light
215,fe7185e8ca6be33b48072c4ba1b6056d,Accessories,750,low stock,Light
216,fe70b3d3e1523d468ece722d2de06de9,Accessories,200,in stock,Light
217,fe705ffbaa3804c5562b8b1046157a6c,Kitchen Products,350,in stock,Light
218,fe6f03cedd96bcbc5c8726c5963fd35c,Shoes,1250,in stock,Medium
219,fe6e5de30335f28d5c71820661ce4019,Pets,200,in stock,Light
220,fe6a9515d655fa7936b8a7c841039f34,Pets,5650,in stock,Heavy
221,fe673b1b9f582dfe9077e7ecfb03446a,Shoes,800,in stock,Light
222,fe6614ba400caca2d8d310902d5ecdd5,Kitchen Products,1500,in stock,Medium
223,fe6550863a0e6a0167e2d2859f8f3b9e,Shoes,650,in stock,Light
224,fe644da1135fedca6aa0bf794fab71be,Kitchen Products,3100,in stock,Medium
225,fe61253e50ad6ee9f1d180da22ce5eef,Shoes,1050,in stock,Medium
226,fe59a1e006df3ac42bf0ceb876d70969,Appliances,3407,in stock,Medium
227,fe5915b903037937488e868f2dde0ff3,Decor,30000,in stock,Heavy
228,fe5827d110a9ba59d4ab407e86ccd6eb,Art,150,low stock,Light
229,fe55c83c8471a2fca643b9291c1f105e,Musical Instruments,600,in stock,Light
230,fe555e0880543633edc71df3737e49eb,Shoes,1650,in stock,Medium
231,fe5554d1ac1a1d70c97854dca21facb0,Pets,850,in stock,Light
232,fe547f9a78a612634a416e6be45fe693,Jewelry,3718,in stock,Medium
233,fe4dece0c663ba4f1f9f2d04d3b93a97,Books,200,in stock,Light
234,fe4d09201362b0d4332259c78af0f761,Kitchen Products,800,in stock,Light
235,fe4cd3c795135b4f84e2da5a82ac84a8,Art,200,in stock,Light
236,fe4afcfae208147e0189eaa4c3f5fb8d,Toys,1750,in stock,Medium
237,fe40f7377a50aba380fb2fca57cf730c,Books,1650,in stock,Medium
238,fe4098f3eb43b02ba19c15d81bde2b2d,Books,1500,in stock,Medium
239,fe406983ad8b9e20a5b18801f39ece27,Furniture,3213,in stock,Medium
240,fe3dd7b13c2aaf66e4fa4132f5c71da3,Books,750,in stock,Light
241,fe3d99587f58ad918a2241f5c7dfa274,Accessories,3700,in stock,Medium
242,fe34a95208c5b3b69d91552aecf1bd71,Appliances,850,in stock,Light
243,fe34503c6bccf918db601aaafd4a975a,Gadgets,3000,out of stock,Medium
244,fe31b2791161c24e921f90788d443e1c,Shoes,1100,low stock,Medium
245,fe2f0ff75805728378c6a8fdc5be7724,Pets,100,in stock,Light
246,fe2f068d3b10f48ac104cd8c8dbcdfe8,Accessories,450,in stock,Light
247,fe2eb4afacc06314372f75be9c2859ff,Kitchen Products,150,out of stock,Light
248,fe28979be307dfef18cb028e5bd4e8e6,Musical Instruments,600,in stock,Light
249,fe286f0c486e06abe661c94f8e1554c5,Shoes,2350,in stock,Medium
250,fe281ff6eb3a52425dca9c76f4b505c0,Decor,2150,low stock,Medium
251,fe25db018a92c3f4ff5cd5d2e0bb7290,Makeup,600,in stock,Light
252,fe220782f267bca8c056308cba6c8807,Jewelry,1200,in stock,Medium
253,fe1ee1f8bfbb79fe10856189a0c35229,Sports,1400,low stock,Medium
254,fe1d68f123061329a6d3505c2b905566,Pets,150,in stock,Light
255,fe1cef1f560c521e9ed426383ed58ac2,Accessories,467,in stock,Light
256,fe1ba35c47a4b599f34ce8ad2aa2c42b,Makeup,200,in stock,Light
257,fe1b6867dcd2f3336f259476b77f5edd,Home Design,1600,in stock,Medium
258,fe1341006261b53f5f8415fb27772e66,Pets,250,in stock,Light
259,fe117e311878a71023889b7bb6a8f2c2,Kitchen Products,300,in stock,Light
260,fe0caf78250528cec991a2462326f574,Decor,1900,in stock,Medium
261,fe0c30fb2df4e35bc7319b277ddbdaa5,Sports,850,in stock,Light
262,fe0be6df56c891975ff729be49fd2e17,Decor,318,in stock,Light
263,fe0a8502d28faaddaa89ebedadc543ae,Clothing,100,in stock,Light
264,fe09eb5f7bfcb79d05df7c4e83ec204e,Jewelry,200,in stock,Light
265,fe08e28295ab13626e239b59612918f2,Musical Instruments,9633,in stock,Heavy
266,fe077ec80df6b4ee60bb4498d5ab1962,Makeup,200,out of stock,Light
267,fe06d596708c590bf178cdb82aa7d48d,Books,850,in stock,Light
268,fe05ad488982d6de6373f13486d92d99,Art,750,in stock,Light
269,fe038e16fec390e96e4d557ef433e280,Furniture,100,out of stock,Light
270,fe02ad514379012c6a31b62741a3a9d4,Kitchen Products,600,in stock,Light
271,fe01b643060a6446e59f58e3021e66b3,Art,1250,in stock,Medium
272,fdff6fbfaeefd11afe77be6f416e9c4e,Pets,500,in stock,Light
273,fdfe4f462b8972c3455163e3fa7653c6,Decor,7000,in stock,Heavy
274,fdfb90feb49d2b41b8283a8ec6e95590,Home Design,11600,out of stock,Heavy
275,fdf9ec5852bb18d630e683e3c796972d,Furniture,1434,in stock,Medium
276,fdf648fe44c2e24e9857c8d4ad5a7028,Gadgets,700,low stock,Light
277,fdf37ff6a4ff39ac973343a01c1f91ef,Kitchen Products,300,in stock,Light
278,fdeb34a9f03fea7c3937dd62d1d0287e,Accessories,1100,out of stock,Medium
279,fde90f06296b26995fd0de6f16610d70,Musical Instruments,1650,in stock,Medium
280,fde84a599b4b96ce7eef9109caece04b,Home Design,100,in stock,Light
281,fde7de6bf5508a0001da45dbe6c80b22,Art,900,in stock,Light
282,fde71f25e699ca0a2a83a6c3a249b816,Art,600,in stock,Light
283,fde4e97b75bd817d8c4aef8de39ed4d9,Gadgets,150,in stock,Light
284,fde0eff565370716f3400d2bdf4e148a,Toys,6350,in stock,Heavy
285,fddede0d4854d07dbb9bcf3b090697f3,Appliances,500,in stock,Light
286,fddec93a56600e40327c7a9e66c98feb,Appliances,1150,in stock,Medium
287,fdde5bfe43004cc06f12152870b951f4,Clothing,475,in stock,Light
288,fddc61a36e83f12b665d068c07411aa7,Clothing,975,in stock,Light
289,fdd84aefb08c8f8225e0b8c97429d53b,Furniture,123,in stock,Light
290,fdd7bd74464daed1af6c0b21d9c654d4,Pets,1800,in stock,Medium
291,fdd6cd13962a20732851bc7cefd37549,Art,350,out of stock,Light
292,fdd4f5e099d232bbd0d1fca8eab34172,Accessories,200,in stock,Light
293,fdd209e106931a894807cb3a076e8752,Sports,2100,in stock,Medium
294,fdd06e4d9669d1f11992a3973a0fdd7b,Toys,1400,in stock,Medium
295,fdcf45aa23bb8312ecc0027d6e1ef1c4,Makeup,250,in stock,Light
296,fdcd8c17805ad801a924cf11272a2834,Sports,2050,in stock,Medium
297,fdcd405125af2d9b2b7b6fa42950fd92,Makeup,450,in stock,Light
298,fdc86b2fc0a185e4044ef057bb75a977,Sports,175,in stock,Light
299,fdc7f0715c1b1ee11b31922f0b23c0b4,Shoes,500,in stock,Light
300,fdc7b4c1ee3b0ba0c649a3147d039983,Kitchen Products,450,in stock,Light
301,fdc52cfa6830ea1f04bc31c0939b2357,Kitchen Products,300,in stock,Light
302,fdc3af4045c7316cadde9fda3c335932,Jewelry,300,in stock,Light
303,fdc1340be043a0e6807741d687fc1cd4,Toys,200,in stock,Light
304,fdc0fe1b7ae4cdf11202504eb045b0b9,Home Design,1188,in stock,Medium
305,fdbfd4cec6db6e89f22d9aa2c4839eed,Sports,20050,in stock,Heavy
306,fdbf9f9491572857107621c9e0c5d59c,Clothing,305,in stock,Light
307,fdbd77fe1773263558126c16e0b4b67c,Gadgets,1500,out of stock,Medium
308,fdbcb10ffeacc2c174245c6d2c4c05ce,Makeup,3400,in stock,Medium
309,fdba6f37e0258dbca54eb0ed8b293ae0,Accessories,600,in stock,Light
310,fdb86e192fdd20037175daab38af9656,Decor,800,in stock,Light
311,fdb7db3bff9c924c80ae39b6cd2e82a7,Clothing,10050,in stock,Heavy
312,fdb33d3471c9183b30cea8b7b34e4880,Decor,570,in stock,Light
313,fdb30642264bf639de6968a1b8d72c63,Furniture,600,in stock,Light
314,fdb0400657b935e026dc0521ba81c3d2,Furniture,150,in stock,Light
315,fdaed9f1261debbac5fc4459dc4fad1c,Art,500,in stock,Light
316,fdad129d8e902058f98862f23dcf6978,Home Design,250,in stock,Light
317,fdad06d08341796c0a7975fcaaba7a2e,Sports,650,low stock,Light
318,fdac82e439dafa5f87a9547581532380,Accessories,1000,in stock,Light
319,fdab4c1b0c356b42df5846952f5b47af,Appliances,225,in stock,Light
320,fda95fe26bc353f8a0cc05c8d109d453,Shoes,125,in stock,Light
321,fda8e9e4aa94f525fc48f6777ff040ea,Jewelry,13800,in stock,Heavy
322,fda6e6a7a94613adeb9bc945a6dbcc10,Decor,4100,in stock,Medium
323,fda6a1e500285956c972ec2fe10f4923,Furniture,1850,out of stock,Medium
324,fda36cbf21cf89adaae228f08c1e4121,Toys,14250,in stock,Heavy
325,fda2e10316a83bcf6ffa52fc891642f2,Art,1000,in stock,Light
326,fda130b26c5b4ddabb0cec19a06abff7,Toys,3700,in stock,Medium
327,fd9f8eff0fa910129e366594485e00dd,Toys,410,in stock,Light
328,fd9becacfcf0cebb9756687af69c716a,Furniture,400,in stock,Light
329,fd9bc1610a48cabefb0ef59453f7ebeb,Appliances,11400,in stock,Heavy
330,fd979b0722a18a4fb9dfe333eefeead2,Gadgets,1150,out of stock,Medium
331,fd97587c26811f6072bacce1484fbf65,Toys,50,in stock,Light
332,fd939dd54384f5681c327919e8f6a1b8,Art,500,in stock,Light
333,fd92a7f41be98d0580faa2e6683b4ca0,Books,4403,in stock,Medium
334,fd925ce72399e23cbc5d75e224fc2b57,Sports,100,in stock,Light
335,fd9222f5293048868b832e5179fa3ec5,Pets,2950,low stock,Medium
336,fd91e23b4465803725f329b39afe018a,Musical Instruments,400,in stock,Light
337,fd8a63e7365ea8b19f4ba50e07a89a06,Home Design,200,in stock,Light
338,fd8a5b9a8a79d7ba0739d69be5dc5aa1,Home Design,850,in stock,Light
339,fd87595e4b416c50ca77899592f2bef3,Books,1117,in stock,Medium
340,fd85f34d70edf41fbea6a3269d183e00,Appliances,163,in stock,Light
341,fd8427a5b8ddccc638a8861eed9aef64,Decor,1350,in stock,Medium
342,fd7fd78fd3cbc1b0a6370a7909c0a629,Home Design,400,in stock,Light
343,fd7d446e2582c5bbc8be63f9179e98ac,Bathroom,150,low stock,Light
344,fd7d2e006bf144655148da8077bd8d4f,Gadgets,200,low stock,Light
345,fd78812672eb8dd819fad93951bdbe64,Kitchen Products,187,in stock,Light
346,fd76f22bf3648e0dd4295e593def7664,Gadgets,1000,in stock,Light
347,fd76a5a3907232c96615967475f8689f,Shoes,26400,in stock,Heavy
348,fd6d9e3d204e6e693f4edd48ac33487e,Appliances,3000,in stock,Medium
349,fd6c1e7562ca075a0c3e11cdc1158d82,Home Design,8100,in stock,Heavy
350,fd68051e3deccde23af3d77152129c5a,Furniture,2800,in stock,Medium
351,fd60771c56d987cda1dc0169f4452e65,Musical Instruments,100,in stock,Light
